4i,Name,Reinforce Type ID,Scarlet Rot,Madness,Sleep,Frost +0,Poison +0,Blood +0,Frost +1,Poison +1,Blood +1,Frost +2,Poison +2,Blood +2,Frost +3,Poison +3,Blood +3,Frost +4,Poison +4,Blood +4,Frost +5,Poison +5,Blood +5,Frost +6,Poison +6,Blood +6,Frost +7,Poison +7,Blood +7,Frost +8,Poison +8,Blood +8,Frost +9,Poison +9,Blood +9,Frost +10,Poison +10,Blood +10,Frost +11,Poison +11,Blood +11,Frost +12,Poison +12,Blood +12,Frost +13,Poison +13,Blood +13,Frost +14,Poison +14,Blood +14,Frost +15,Poison +15,Blood +15,Frost +16,Poison +16,Blood +16,Frost +17,Poison +17,Blood +17,Frost +18,Poison +18,Blood +18,Frost +19,Poison +19,Blood +19,Frost +20,Poison +20,Blood +20,Frost +21,Poison +21,Blood +21,Frost +22,Poison +22,Blood +22,Frost +23,Poison +23,Blood +23,Frost +24,Poison +24,Blood +24,Frost +25,Poison +25,Blood +25
1070000,Glintstone Kris,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1080000,Scorpion's Stinger,2200,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090000,Great Knife,0,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1090100,Heavy Great Knife,100,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1090200,Keen Great Knife,5000,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1090300,Quality Great Knife,300,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1090400,Fire Great Knife,400,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1090500,Flame Art Great Knife,500,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1090600,Lightning Great Knife,600,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1090700,Sacred Great Knife,700,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1090800,Magic Great Knife,800,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1090900,Cold Great Knife,900,0,0,0,66,0,38,67,0,38,69,0,38,70,0,38,72,0,38,73,0,38,75,0,38,77,0,38,78,0,38,80,0,38,81,0,38,83,0,38,85,0,38,86,0,38,88,0,38,89,0,38,91,0,38,92,0,38,94,0,38,96,0,38,97,0,38,99,0,38,100,0,38,102,0,38,104,0,38,105,0,38
1091000,Poison Great Knife,1000,0,0,0,0,66,38,0,67,38,0,68,38,0,69,38,0,70,38,0,71,38,0,73,38,0,74,38,0,75,38,0,76,38,0,77,38,0,79,38,0,80,38,0,81,38,0,82,38,0,83,38,0,85,38,0,86,38,0,87,38,0,88,38,0,89,38,0,90,38,0,92,38,0,93,38,0,94,38,0,95,38
1091100,Blood Great Knife,1100,0,0,0,0,0,57,0,0,58,0,0,59,0,0,60,0,0,61,0,0,62,0,0,63,0,0,64,0,0,65,0,0,66,0,0,67,0,0,68,0,0,69,0,0,70,0,0,71,0,0,72,0,0,73,0,0,74,0,0,75,0,0,76,0,0,77,0,0,78,0,0,79,0,0,80,0,0,81,0,0,82
1091200,Occult Great Knife,1200,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1100000,Wakizashi,0,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
1100100,Heavy Wakizashi,100,0,0,0,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38,0,0,38
