Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Weapon Skill,Default Weapon Skill FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Critical),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Pierce),Infusable,Can Enchant,Achievement,Obtainable,ID,Weapon Group ID,Weapon ID,Affinity ID,Weapon Moveset Category,Magic Effect Category,SpEffect ID,Icon ID,Model ID,Reinforce Type ID,Behavior Variation ID,Sort Group Type ID,Sort Group ID,Sort ID
Poison Parrying Dagger,Parrying Dagger,Poison,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",Causes poison buildup (),-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1021000,1,02,1000,20,-,-1,10002,102,1000,100,1,10,1001009
Blood Parrying Dagger,Parrying Dagger,Blood,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",Causes blood loss buildup (),-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1021100,1,02,1100,20,-,-1,10002,102,1100,100,1,10,1001010
Cold Parrying Dagger,Parrying Dagger,Cold,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",Causes frost buildup (),-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1020900,1,02,0900,20,-,-1,10002,102,900,100,1,10,1001011
Occult Parrying Dagger,Parrying Dagger,Occult,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1021200,1,02,1200,20,-,-1,10002,102,1200,100,1,10,1001012
Miséricorde,Miséricorde,Standard,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1030000,1,03,0000,20,-,-1,10003,103,0,103,1,10,1002000
Heavy Miséricorde,Miséricorde,Heavy,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1030100,1,03,0100,20,-,-1,10003,103,100,103,1,10,1002001
Keen Miséricorde,Miséricorde,Keen,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1030200,1,03,0200,20,-,-1,10003,103,5000,103,1,10,1002002
Quality Miséricorde,Miséricorde,Quality,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1030300,1,03,0300,20,-,-1,10003,103,300,103,1,10,1002003
Magic Miséricorde,Miséricorde,Magic,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1030800,1,03,0800,20,-,-1,10003,103,800,103,1,10,1002004
Fire Miséricorde,Miséricorde,Fire,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1030400,1,03,0400,20,-,-1,10003,103,400,103,1,10,1002005
Flame Art Miséricorde,Miséricorde,Flame Art,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1030500,1,03,0500,20,-,-1,10003,103,500,103,1,10,1002006
Lightning Miséricorde,Miséricorde,Lightning,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1030600,1,03,0600,20,-,-1,10003,103,600,103,1,10,1002007
Sacred Miséricorde,Miséricorde,Sacred,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1030700,1,03,0700,20,-,-1,10003,103,700,103,1,10,1002008
Poison Miséricorde,Miséricorde,Poison,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",Causes poison buildup (),-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1031000,1,03,1000,20,-,-1,10003,103,1000,103,1,10,1002009
Blood Miséricorde,Miséricorde,Blood,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1031100,1,03,1100,20,-,-1,10003,103,1100,103,1,10,1002010
Cold Miséricorde,Miséricorde,Cold,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",Causes frost buildup (),-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1030900,1,03,0900,20,-,-1,10003,103,900,103,1,10,1002011
Occult Miséricorde,Miséricorde,Occult,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1031200,1,03,1200,20,-,-1,10003,103,1200,103,1,10,1002012
Great Knife,Great Knife,Standard,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1090000,1,09,0000,20,-,-1,10009,118,0,109,1,10,1003000
Heavy Great Knife,Great Knife,Heavy,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1090100,1,09,0100,20,-,-1,10009,118,100,109,1,10,1003001
Keen Great Knife,Great Knife,Keen,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1090200,1,09,0200,20,-,-1,10009,118,5000,109,1,10,1003002
Quality Great Knife,Great Knife,Quality,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1090300,1,09,0300,20,-,-1,10009,118,300,109,1,10,1003003
Magic Great Knife,Great Knife,Magic,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1090800,1,09,0800,20,-,-1,10009,118,800,109,1,10,1003004
Fire Great Knife,Great Knife,Fire,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1090400,1,09,0400,20,-,-1,10009,118,400,109,1,10,1003005
Flame Art Great Knife,Great Knife,Flame Art,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1090500,1,09,0500,20,-,-1,10009,118,500,109,1,10,1003006
Lightning Great Knife,Great Knife,Lightning,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1090600,1,09,0600,20,-,-1,10009,118,600,109,1,10,1003007
Sacred Great Knife,Great Knife,Sacred,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1090700,1,09,0700,20,-,-1,10009,118,700,109,1,10,1003008
Poison Great Knife,Great Knife,Poison,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes poison buildup (),Causes blood loss buildup (),-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1091000,1,09,1000,20,-,-1,10009,118,1000,109,1,10,1003009
Blood Great Knife,Great Knife,Blood,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1091100,1,09,1100,20,-,-1,10009,118,1100,109,1,10,1003010
Cold Great Knife,Great Knife,Cold,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes frost buildup (),Causes blood loss buildup (),-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1090900,1,09,0900,20,-,-1,10009,118,900,109,1,10,1003011
Occult Great Knife,Great Knife,Occult,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1091200,1,09,1200,20,-,-1,10009,118,1200,109,1,10,1003012
Bloodstained Dagger,Bloodstained Dagger,Standard,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1140000,1,14,0000,20,-,-1,10014,110,0,100,1,10,1004000
Heavy Bloodstained Dagger,Bloodstained Dagger,Heavy,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1140100,1,14,0100,20,-,-1,10014,110,6000,100,1,10,1004001
Keen Bloodstained Dagger,Bloodstained Dagger,Keen,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1140200,1,14,0200,20,-,-1,10014,110,200,100,1,10,1004002
Quality Bloodstained Dagger,Bloodstained Dagger,Quality,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1140300,1,14,0300,20,-,-1,10014,110,300,100,1,10,1004003
Magic Bloodstained Dagger,Bloodstained Dagger,Magic,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1140800,1,14,0800,20,-,-1,10014,110,800,100,1,10,1004004
Fire Bloodstained Dagger,Bloodstained Dagger,Fire,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1140400,1,14,0400,20,-,-1,10014,110,400,100,1,10,1004005
Flame Art Bloodstained Dagger,Bloodstained Dagger,Flame Art,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1140500,1,14,0500,20,-,-1,10014,110,500,100,1,10,1004006
Lightning Bloodstained Dagger,Bloodstained Dagger,Lightning,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1140600,1,14,0600,20,-,-1,10014,110,600,100,1,10,1004007
Sacred Bloodstained Dagger,Bloodstained Dagger,Sacred,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1140700,1,14,0700,20,-,-1,10014,110,700,100,1,10,1004008
Poison Bloodstained Dagger,Bloodstained Dagger,Poison,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes poison buildup (),Causes blood loss buildup (),-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1141000,1,14,1000,20,-,-1,10014,110,1000,100,1,10,1004009
Blood Bloodstained Dagger,Bloodstained Dagger,Blood,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1141100,1,14,1100,20,-,-1,10014,110,1100,100,1,10,1004010
Cold Bloodstained Dagger,Bloodstained Dagger,Cold,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes frost buildup (),Causes blood loss buildup (),-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1140900,1,14,0900,20,-,-1,10014,110,900,100,1,10,1004011
Occult Bloodstained Dagger,Bloodstained Dagger,Occult,Dagger,,Slash/Pierce,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,-,Quickstep,3,2,100,150,110,9,12,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1141200,1,14,1200,20,-,-1,10014,110,1200,100,1,10,1004012
Erdsteel Dagger,Erdsteel Dagger,Standard,Dagger,,Slash/Pierce,"An erdsteel dagger with a grass crest engraved upon its blade. Carried by the Erdtree royalty for self-defense in times of peace.

Though forged to a high standard, the weapon is difficult to wield.
Attack power also scales with faith.",-,-,-,Quickstep,3,2,200,150,110,7,12,0,14,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1150000,1,15,0000,20,-,-1,10015,123,0,115,1,10,1005000
