NPC ID,ItemLot_Enemy ID,Name,Location #1,Model Mask Flags (Hex),Items Drop 1,Item Chance 1,Item Drop 2,Item Chance 2,Item Drop 3,Item Chance 3,Item Drop 4,Item Chance 4,Item Drop 5,Item Chance 5,Item Drop 6,Item Chance 6,Item Drop 7,Item Chance 7,Item Drop 8,Item Chance 8,Item Drop 9,Item Chance 9,Item Drop 10,Item Chance 10
10006050,-1,???,"Mountaintops of the Giants - Whiteridge Road, Minor Erdtree",,None,,,,,,,,,,,,,,,,,,,
10100000,-1,???,Tombsward Catacombs,,None,,,,,,,,,,,,,,,,,,,
20100000,-1,Blaidd the Half-Wolf,Liurnia of the Lakes - Liurnia Highway Far North,,None,,,,,,,,,,,,,,,,,,,
20101000,-1,Blaidd the Half-Wolf,Unused,,None,,,,,,,,,,,,,,,,,,,
20107500,-1,Blaidd the Half-Wolf,Unused,,None,,,,,,,,,,,,,,,,,,,
20108000,-1,Half-Wolf Warrior,Unused,,None,,,,,,,,,,,,,,,,,,,
20108500,-1,Baleful Shadow,Unused,,None,,,,,,,,,,,,,,,,,,,
20108562,-1,Baleful Shadow [Tier 12],Ainsel River,,None,,,,,,,,,,,,,,,,,,,
20109000,-1,Blaidd the Half-Wolf,Unused,,None,,,,,,,,,,,,,,,,,,,
20109010,-1,Blaidd the Half-Wolf [Tier 2],"Limgrave - Siofra River Well, Mistwood Ruins, Minor Erdtree, Nokron Entrance",,None,,,,,,,,,,,,,,,,,,,
20109020,-1,Blaidd the Half-Wolf [Tier 7],"Liurnia of the Lakes - Ranni's Rise, Seluvis's Rise",,None,,,,,,,,,,,,,,,,,,,
20109040,-1,Blaidd the Half-Wolf [Tier 8],Caelid - Redmane Castle,,None,,,,,,,,,,,,,,,,,,,
20109064,-1,Blaidd the Half-Wolf [Tier 7],Siofra River,,None,,,,,,,,,,,,,,,,,,,
20109110,-1,Blaidd the Half-Wolf [Tier 2],"Weeping Peninsula - Bridge of Sacrifice, Forest Lookout Tower, Earthbore Cave Entrance",,None,,,,,,,,,,,,,,,,,,,
20109120,-1,Blaidd the Half-Wolf [Tier 12],"Liurnia of the Lakes - Ranni's Rise, Seluvis's Rise",,None,,,,,,,,,,,,,,,,,,,
20109140,-1,Blaidd the Half-Wolf,Southeast Caelid,,None,,,,,,,,,,,,,,,,,,,
20109210,-1,Blaidd the Half-Wolf [Tier 10],"Limgrave - Agheel Lake South, Forlorn Hound Evergaol",,None,,,,,,,,,,,,,,,,,,,
20109240,-1,Blaidd the Half-Wolf [Tier 8],Caelid - Central Radahn Arena,,None,,,,,,,,,,,,,,,,,,,
20109310,-1,Blaidd the Half-Wolf [Tier 2],"Limgrave - Agheel Lake South, Forlorn Hound Evergaol",,None,,,,,,,,,,,,,,,,,,,
20109410,-1,Blaidd the Half-Wolf [Tier 2],Unused,,None,,,,,,,,,,,,,,,,,,,
20300000,-1,Rennala - Phase 1,Unused,,None,,,,,,,,,,,,,,,,,,,
20300024,-1,Rennala - Phase 1 [Boss] - Liurnia (Academy of Raya Lucaria),Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20300100,-1,Rennala - Phase 1,Unused,,None,,,,,,,,,,,,,,,,,,,
20300124,-1,Rennala - Phase 1 [Tier 8],Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20310000,-1,Rennala - Phase 2,Unused,,None,,,,,,,,,,,,,,,,,,,
20310024,-1,Rennala - Phase 2 [Boss] - Liurnia (Academy of Raya Lucaria),Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20310100,-1,Rennala - Phase 2,Unused,,None,,,,,,,,,,,,,,,,,,,
20310124,-1,Rennala - Phase 2 [Tier 8],Unused,,None,,,,,,,,,,,,,,,,,,,
20400000,-1,Juvenile Scholar - Quill,Unused,,None,,,,,,,,,,,,,,,,,,,
20400024,-1,Juvenile Scholar - Quill [Tier 8],Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20401000,-1,Juvenile Scholar - Candlestick,Unused,,None,,,,,,,,,,,,,,,,,,,
20401024,-1,Juvenile Scholar - Candlestick [Tier 8],Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20402000,-1,Juvenile Scholar (Tall Cap) - Quill,Unused,,None,,,,,,,,,,,,,,,,,,,
20402024,-1,Juvenile Scholar (Tall Cap) - Quill [Tier 8],Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20402100,-1,Juvenile Scholar (Tall Cap) - Quill,Unused,,None,,,,,,,,,,,,,,,,,,,
20402124,-1,Juvenile Scholar (Tall Cap) - Quill [Tier 8],Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20402200,-1,Juvenile Scholar (Tall Cap) - Quill,Unused,,None,,,,,,,,,,,,,,,,,,,
20402224,-1,Juvenile Scholar (Tall Cap) - Quill [Tier 8],Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20403000,-1,Juvenile Scholar - Quill,Unused,,None,,,,,,,,,,,,,,,,,,,
20403024,-1,Juvenile Scholar - Quill [Tier 8],Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20404000,-1,Juvenile Scholar - Candlestick,Unused,,None,,,,,,,,,,,,,,,,,,,
20404024,-1,Juvenile Scholar - Candlestick [Tier 8],Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
20410000,-1,Larval Kindred of Rot,Unused,,None,,,,,,,,,,,,,,,,,,,
20410040,204100000,Larval Kindred of Rot [Tier 8],"Caelid - Fort Gael, Caelid Waypoint Ruins, Gaol Cave Entrance",,None,,,,,,,,,,,,,,,,,,,
20410056,204100100,Larval Kindred of Rot,Miquella's Haligtree,0,Aeonian Butterfly,5.00%,,,,,,,,,,,,,,,,,,
20500000,-1,Ranni the Witch,Unused,,None,,,,,,,,,,,,,,,,,,,
20500010,-1,Ranni the Witch [Tier 2],"Limgrave - Church of Elleh, Stranded Graveyard Exit",,None,,,,,,,,,,,,,,,,,,,
20500020,-1,Ranni the Witch [Tier 7],"Liurnia of the Lakes - Ranni's Rise, Seluvis's Rise",,None,,,,,,,,,,,,,,,,,,,
20500100,-1,Ranni the Witch,Unused,,None,,,,,,,,,,,,,,,,,,,
20500122,-1,Ranni the Witch [Tier 14],Moonlight Altar - Cathedral of Manus Celes,,None,,,,,,,,,,,,,,,,,,,
20500178,-1,Ranni the Witch [Tier 17],Unused,,None,,,,,,,,,,,,,,,,,,,
20501000,-1,Ranni the Witch (Undressed),Unused,,None,,,,,,,,,,,,,,,,,,,
20501022,-1,Ranni the Witch (Undressed) [Tier 14],Unused,,None,,,,,,,,,,,,,,,,,,,
20501100,-1,Ranni the Witch (Undressed),Unused,,None,,,,,,,,,,,,,,,,,,,
20501122,-1,Ranni the Witch (Undressed) [Tier 14],Unused,,None,,,,,,,,,,,,,,,,,,,
20510000,-1,Ranni the Witch,Unused,,None,,,,,,,,,,,,,,,,,,,
20600000,-1,The Two Fingers,Unused,,None,,,,,,,,,,,,,,,,,,,
20600079,-1,The Two Fingers,Roundtable Hold,,None,,,,,,,,,,,,,,,,,,,
21000000,210000000,Black Knife Assassin (Cloak),Unused,,None,,,,,,,,,,,,,,,,,,,
21000034,210000000,Black Knife Assassin (Cloak) [Tier 11],"Leyndell, Royal Capital",,None,,,,,,,,,,,,,,,,,,,
21000052,210000000,Black Knife Assassin (Cloak) [Tier 17],"Consecrated Snowfield - Ordina, Liturgical Town",,None,,,,,,,,,,,,,,,,,,,
21000735,-1,Black Knife Assassin (Cloak) [Tier 14],Unused,,None,,,,,,,,,,,,,,,,,,,
21000820,-1,Black Knife Assassin (Cloak) [Boss] - Liurnia (Black Knife Catacombs),Black Knife Catacombs,,None,,,,,,,,,,,,,,,,,,,
21000830,-1,Black Knife Assassin (Cloak) [Boss] - Altus Plateau (Sainted Hero's Grave),"Altus Plateau - Forest-Spanning Greatbridge, St. Trina's Hideaway, Sainted Hero's Grave Entrance",,None,,,,,,,,,,,,,,,,,,,
21000930,-1,Black Knife Assassin (Cloak) [Boss] - Altus Plateau (Sage's Cave),Sage's Cave,,None,,,,,,,,,,,,,,,,,,,
21001000,-1,Black Knife Assassin,Unused,,None,,,,,,,,,,,,,,,,,,,
21001010,-1,Black Knife Assassin [Boss] - Limgrave (Deathtouched Catacombs),Deathtouched Catacombs,,None,,,,,,,,,,,,,,,,,,,
21002000,-1,Black Knife Assassin (Cloak),Unused,,None,,,,,,,,,,,,,,,,,,,
21002922,-1,"Alecto, Black Knife Ringleader [Boss] - Liurnia (Moonlight Altar)",Moonlight Altar - Ringleader's Evergaol,,None,,,,,,,,,,,,,,,,,,,
21009000,-1,Black Knife Assassin (Cloak),"Consecrated Snowfield - Ordina, Liturgical Town",,None,,,,,,,,,,,,,,,,,,,
21009020,-1,Black Knife Assassin (Cloak) [Tier 7],Liurnia of the Lakes - Road to the Manor,,None,,,,,,,,,,,,,,,,,,,
21100000,-1,Beast Clergyman,Unused,,None,,,,,,,,,,,,,,,,,,,
21100072,-1,Beast Clergyman [Boss] - Crumbling Farum Azula - Phase 1,Crumbling Farum Azula,,None,,,,,,,,,,,,,,,,,,,
21101000,-1,"Maliketh, The Black Blade",Unused,,None,,,,,,,,,,,,,,,,,,,
21101072,-1,"Maliketh, The Black Blade [Boss] - Crumbling Farum Azula - Phase 2",Crumbling Farum Azula,,None,,,,,,,,,,,,,,,,,,,
21102000,-1,"Maliketh, The Black Blade",Unused,,None,,,,,,,,,,,,,,,,,,,
21109000,-1,"Gurranq, Beast Clergyman",Unused,,None,,,,,,,,,,,,,,,,,,,
21109042,-1,"Gurranq, Beast Clergyman [Tier 16]",Greyoll's Dragonbarrow - Bestial Sanctum,,None,,,,,,,,,,,,,,,,,,,
21200000,-1,"Malenia, Blade of Miquella",Unused,,None,,,,,,,,,,,,,,,,,,,
21200056,-1,"Malenia, Blade of Miquella [Boss] - Miquella's Haligtree",Miquella's Haligtree,,None,,,,,,,,,,,,,,,,,,,
21201000,-1,"Malenia, Goddess of Rot",Unused,,None,,,,,,,,,,,,,,,,,,,
21201100,-1,"Malenia, Goddess of Rot",Unused,,None,,,,,,,,,,,,,,,,,,,
21202000,-1,"Malenia, Blade of Miquella",Unused,,None,,,,,,,,,,,,,,,,,,,
21202056,-1,"Malenia, Blade of Miquella [Tier 21]",Miquella's Haligtree,,None,,,,,,,,,,,,,,,,,,,
21203000,-1,"Malenia, Blade of Miquella",Unused,,None,,,,,,,,,,,,,,,,,,,
21203056,-1,"Malenia, Blade of Miquella [Tier 21]",Unused,,None,,,,,,,,,,,,,,,,,,,
21209000,-1,"Malenia, Blade of Miquella",Unused,,None,,,,,,,,,,,,,,,,,,,
21300000,-1,"Margit, the Fell Omen",Unused,,None,,,,,,,,,,,,,,,,,,,
21300014,-1,"Margit, the Fell Omen [Boss] - Stormveil Castle",Stormveil Castle,,None,,,,,,,,,,,,,,,,,,,
21300033,-1,"Margit, the Fell Omen - Encounter [Tier 10]",Capital Outskirts - Southeast Outer Wall Battleground,,None,,,,,,,,,,,,,,,,,,,
21300500,-1,"Morgott, the Omen King",Unused,,None,,,,,,,,,,,,,,,,,,,
21300534,-1,"Morgott, the Omen King [Boss] - Leyndell","Leyndell, Royal Capital",,None,,,,,,,,,,,,,,,,,,,
21310000,-1,Morgott - Dead,Unused,,None,,,,,,,,,,,,,,,,,,,
21310034,-1,Morgott - Dead,"Leyndell, Royal Capital",,None,,,,,,,,,,,,,,,,,,,
21400000,214000000,Omen Monstrosity - Curved Sword,Unused,,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400012,214000000,Omen Monstrosity - Curved Sword [Tier 3],Unused,,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400030,214000000,Omen Monstrosity (Curved Sword),"Altus Plateau - Abandoned Coffin, Ruin-Strewn Precipice Exit",800E8800,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400034,214000000,Omen Monstrosity - Curved Sword [Tier 11],Unused,,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400035,214000000,Omen Monstrosity (Curved Sword),Subterranean Shunning-Grounds,800E8800,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400090,-1,Omen Monstrosity - Curved Sword [Tier 2],Unused,,None,,,,,,,,,,,,,,,,,,,
21400100,214000000,Omen Monstrosity - Curved Sword,Unused,,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400114,214000000,Omen Monstrosity (Curved Sword),Stormveil Castle,800E8800,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400120,214000000,Omen Monstrosity (Curved Sword),Cliffbottom Catacombs,800E8800,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400130,214000000,Omen Monstrosity (Curved Sword),Unsightly Catacombs,800E8800,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400135,214000000,Omen Monstrosity (Curved Sword),Subterranean Shunning-Grounds,800E8800,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400200,214000000,Omen Monstrosity - Curved Sword,Unused,,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400235,214000990,Omen Monstrosity (Curved Sword),Subterranean Shunning-Grounds,80014000,Omen Cleaver,4.00%,Omen Bairn,100.00%,,,,,,,,,,,,,,,,
21400300,214000000,Omen Monstrosity - Curved Sword,Unused,,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400335,214000000,Omen Monstrosity (Curved Sword),Subterranean Shunning-Grounds,80014000,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400400,214000000,Omen Monstrosity - Curved Sword,Unused,,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400435,214000000,Omen Monstrosity (Curved Sword),Subterranean Shunning-Grounds,801C8800,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400600,214000000,Omen Monstrosity - Curved Sword,Unused,,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400633,214000000,Omen Monstrosity (Curved Sword),Auriza Hero's Grave,80228800,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400900,214000000,Omen Monstrosity - Curved Sword,Unused,,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21400930,214000000,Omen Monstrosity (Curved Sword),Altus Plateau - Altus Highway Junction,800E8800,Omen Cleaver,4.00%,,,,,,,,,,,,,,,,,,
21401000,214000100,Omen Monstrosity - Axe,Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401030,214000100,Omen Monstrosity (Axe),"Altus Plateau - Abandoned Coffin, Ruin-Strewn Precipice Exit",402E8800,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401035,214000100,Omen Monstrosity (Axe),Subterranean Shunning-Grounds,400E8800,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401100,214000100,Omen Monstrosity - Axe,Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401120,214000100,Omen Monstrosity (Axe),Cliffbottom Catacombs,400E8800,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401130,214000100,Omen Monstrosity - Axe [Tier 9],Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401135,214000100,Omen Monstrosity - Axe [Tier 14],Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401200,214000100,Omen Monstrosity - Axe,Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401235,214000100,Omen Monstrosity (Axe),Subterranean Shunning-Grounds,40014000,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401300,214000100,Omen Monstrosity - Axe,Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401335,214000100,Omen Monstrosity - Axe [Tier 14],Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401400,214000100,Omen Monstrosity - Axe,Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401435,214000100,Omen Monstrosity (Axe),Subterranean Shunning-Grounds,401C8800,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401600,214000100,Omen Monstrosity - Axe,Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401900,214000100,Omen Monstrosity - Axe,Unused,,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21401930,214000100,Omen Monstrosity (Axe),Altus Plateau - Altus Highway Junction,400E8800,Warped Axe,4.00%,,,,,,,,,,,,,,,,,,
21403000,-1,Fell Twin - Curved Sword,Unused,,None,,,,,,,,,,,,,,,,,,,
21403050,-1,Fell Twin - Curved Sword [Boss] - Capital Outskirts,Divine Tower of East Altus,,None,,,,,,,,,,,,,,,,,,,
21403100,-1,Fell Twin - Axe,Unused,,None,,,,,,,,,,,,,,,,,,,
21403150,-1,Fell Twin - Axe [Boss] - Capital Outskirts,Divine Tower of East Altus,,None,,,,,,,,,,,,,,,,,,,
21409000,-1,Omen Monstrosity - Curved Sword,Unused,,None,,,,,,,,,,,,,,,,,,,
21500000,-1,Wisp,Unused,,None,,,,,,,,,,,,,,,,,,,
21500052,-1,Wisp [Tier 17],"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",,None,,,,,,,,,,,,,,,,,,,
21500064,-1,Wisp [Tier 7],Siofra River,,None,,,,,,,,,,,,,,,,,,,
21500300,-1,Wisp,Unused,,None,,,,,,,,,,,,,,,,,,,
21500352,-1,Wisp [Tier 17],"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",,None,,,,,,,,,,,,,,,,,,,
21500400,-1,Wisp,Unused,,None,,,,,,,,,,,,,,,,,,,
21500452,-1,Wisp [Tier 17],"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",,None,,,,,,,,,,,,,,,,,,,
21500500,-1,Wisp,Unused,,None,,,,,,,,,,,,,,,,,,,
21500552,-1,Wisp [Tier 17],Unused,,None,,,,,,,,,,,,,,,,,,,
21500600,-1,Wisp,Unused,,None,,,,,,,,,,,,,,,,,,,
21500652,-1,Wisp [Tier 17],"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",,None,,,,,,,,,,,,,,,,,,,
21600000,-1,Finger Reader Crone - Wooden Chair,Unused,,None,,,,,,,,,,,,,,,,,,,
21601000,-1,Finger Reader Crone - Wooden Chair,Unused,,None,,,,,,,,,,,,,,,,,,,
21601010,-1,Finger Reader Crone - Wooden Chair [Tier 2],Stormhill - North of Stormhill Shack,,None,,,,,,,,,,,,,,,,,,,
21601012,-1,Finger Reader Crone - Wooden Chair [Tier 3],Unused,,None,,,,,,,,,,,,,,,,,,,
21601020,-1,Finger Reader Crone - Wooden Chair [Tier 7],Liurnia of the Lakes - Gate Town Southwest,,None,,,,,,,,,,,,,,,,,,,
21601030,-1,Finger Reader Crone - Wooden Chair [Tier 9],"Altus Plateau - Forest-Spanning Greatbridge, St. Trina's Hideaway, Sainted Hero's Grave Entrance",,None,,,,,,,,,,,,,,,,,,,
21601033,-1,Finger Reader Crone - Wooden Chair [Tier 10],Capital Outskirts - Southeast Outer Wall Battleground,,None,,,,,,,,,,,,,,,,,,,
21601040,-1,Finger Reader Crone - Wooden Chair [Tier 8],"Caelid - Smoldering Wall, Abandoned Cave Entrance",,None,,,,,,,,,,,,,,,,,,,
21601050,-1,Keeper of the Forbidden Lands [Tier 13],"Mountaintops of the Giants - West Zamor Ruins, Grand Lift of Rold",,None,,,,,,,,,,,,,,,,,,,
21601066,-1,Godwyn's Wet Nurse [Tier 12],Deeproot Depths,,None,,,,,,,,,,,,,,,,,,,
21700000,-1,Finger Reader Enia,Unused,,None,,,,,,,,,,,,,,,,,,,
21700079,-1,Finger Reader Enia,Roundtable Hold,,None,,,,,,,,,,,,,,,,,,,
21701000,-1,Finger Reader Enia,Unused,,None,,,,,,,,,,,,,,,,,,,
21800000,-1,Melina,Unused,,None,,,,,,,,,,,,,,,,,,,
21801000,-1,Melina,Unused,,None,,,,,,,,,,,,,,,,,,,
21801034,-1,Melina [Tier 11],"Leyndell, Royal Capital",,None,,,,,,,,,,,,,,,,,,,
21803000,-1,Melina (Hood/Cloak),Unused,,None,,,,,,,,,,,,,,,,,,,
21809000,-1,Melina,Unused,,None,,,,,,,,,,,,,,,,,,,
21900000,-1,Radagon,Unused,,None,,,,,,,,,,,,,,,,,,,
21900078,-1,Radagon [Boss] - Elden Throne,Stone Platform,,None,,,,,,,,,,,,,,,,,,,
21910000,-1,Radagon - Crucified,Unused,,None,,,,,,,,,,,,,,,,,,,
22000000,-1,Elden Beast,Unused,,None,,,,,,,,,,,,,,,,,,,
22000078,-1,Elden Beast [Boss] - Elden Throne,Stone Platform,,None,,,,,,,,,,,,,,,,,,,
22700000,227000000,Giant Crab,Unused,,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22700010,227000000,Giant Crab,Limgrave - South of Stranded Graveyard Exit,40200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22700012,227000000,Giant Crab [Tier 3],Unused,,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22700013,227000000,Giant Crab,Weeping Peninsula - Morne Moangrave,40200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22700030,227000000,Giant Crab,Altus Plateau - Second Church of Marika,40200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22700032,227000000,Giant Crab,Wyndham Catacombs,40200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22700033,227000000,Giant Crab [Tier 10],Unused,,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22700064,227000000,Giant Crab,Siofra River,40200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22700100,227000000,Giant Crab,Unused,,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22700210,227000000,Giant Crab [Tier 2],Unused,,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22710000,227100000,Crab,Unused,,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710010,227100000,Crab,"Limgrave - Church of Dragon Communion, Coastal Cave Exit",40100000,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710012,227100000,Crab,Weeping Peninsula - Isolated Merchant's Shack,40100000,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710013,227100000,Crab,Weeping Peninsula - Morne Moangrave,40100000,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710030,227100000,Crab,Altus Plateau - Second Church of Marika,40100000,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710032,227100000,Crab [Tier 10],Unused,,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710033,227100000,Crab [Tier 10],Unused,,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710040,227100000,Crab,Minor Erdtree Catacombs,40100000,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710060,227100000,Crab [Tier 6],Unused,,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710064,227100000,Crab,Siofra River,40100000,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22710065,227100000,Crab,Siofra River,40100000,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22720000,227000000,Giant Crab - Damaged,Unused,,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22720020,227000000,Giant Crab (Damaged),Black Knife Catacombs,40200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22720100,227000000,Giant Crab - Damaged,Unused,,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22720112,227000000,Giant Crab (Damaged),Weeping Peninsula - Castle Morne Approach South,80200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22730000,227100000,Crab - Maggots,Unused,,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22730020,227100000,Crab (Maggots),Black Knife Catacombs,40100000,Crab Eggs,3.00%,Strip of White Flesh,3.00%,,,,,,,,,,,,,,,,
22740000,227000000,Giant Crab - Clean,Unused,,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22740020,227000000,Giant Crab (Clean),Liurnia of the Lakes - Village of the Albinaurics; Moonlight Altar - Moonfolk Ruins,40200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22740021,227000000,Giant Crab (Clean),Liurnia of the Lakes - Caria Manor,40200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
22740024,227000000,Giant Crab (Clean),Academy of Raya Lucaria,40200000,Crab Eggs,100.00%,Strip of White Flesh,25.00%,,,,,,,,,,,,,,,,
