Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Ash of War,Default Ash of War FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Critical),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Pierce),Infusable,Can Enchant,Obtainable,ID,Weapon Group ID,Weapon ID,Imbue Type ID,Weapon Moveset Category,Magic Effect Category,SpEffect ID,Icon ID,Reinforce Type ID,Behavior Variation ID,AtkParam ID,Base Stamina Cost,Stamina Usage %,multiplied
Poison Dagger,Dagger,Poison,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",Causes poison buildup (66),-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1001000,1,00,1000,20,-,-1,10000,1000,100,100000,9,1,9
Blood Dagger,Dagger,Blood,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",Causes blood loss buildup (57),-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1001100,1,00,1100,20,-,-1,10000,1100,100,100000,9,1,9
Occult Dagger,Dagger,Occult,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1001200,1,00,1200,20,-,-1,10000,1200,100,100000,9,1,9
Black Knife,Black Knife,-,Dagger,,Slash/Pierce,Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives. A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death.,-,-,-,Blade of Death,25,2,100,160,110,8,12,0,18,0,No,No,Yes,Yes,No,No,Yes,1010000,1,01,0000,20,-,-1,10001,2200,101,115100,8,1.11,8.88
Parrying Dagger,Parrying Dagger,Standard,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1020000,1,02,0000,20,-,-1,10002,0,100,100000,9,1,9
Heavy Parrying Dagger,Parrying Dagger,Heavy,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1020100,1,02,0100,20,-,-1,10002,100,100,100000,9,1,9
Keen Parrying Dagger,Parrying Dagger,Keen,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1020200,1,02,0200,20,-,-1,10002,5000,100,100000,9,1,9
Quality Parrying Dagger,Parrying Dagger,Quality,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1020300,1,02,0300,20,-,-1,10002,300,100,100000,9,1,9
Fire Parrying Dagger,Parrying Dagger,Fire,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1020400,1,02,0400,20,-,-1,10002,400,100,100000,9,1,9
Flame Art Parrying Dagger,Parrying Dagger,Flame Art,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1020500,1,02,0500,20,-,-1,10002,500,100,100000,9,1,9
Lightning Parrying Dagger,Parrying Dagger,Lightning,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1020600,1,02,0600,20,-,-1,10002,600,100,100000,9,1,9
Sacred Parrying Dagger,Parrying Dagger,Sacred,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1020700,1,02,0700,20,-,-1,10002,700,100,100000,9,1,9
Magic Parrying Dagger,Parrying Dagger,Magic,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1020800,1,02,0800,20,-,-1,10002,800,100,100000,9,1,9
Cold Parrying Dagger,Parrying Dagger,Cold,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",Causes frost buildup (66),-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1020900,1,02,0900,20,-,-1,10002,900,100,100000,9,1,9
Poison Parrying Dagger,Parrying Dagger,Poison,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",Causes poison buildup (66),-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1021000,1,02,1000,20,-,-1,10002,1000,100,100000,9,1,9
Blood Parrying Dagger,Parrying Dagger,Blood,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",Causes blood loss buildup (57),-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1021100,1,02,1100,20,-,-1,10002,1100,100,100000,9,1,9
Occult Parrying Dagger,Parrying Dagger,Occult,Dagger,,Slash/Pierce,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1021200,1,02,1200,20,-,-1,10002,1200,100,100000,9,1,9
Miséricorde,Miséricorde,Standard,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1030000,1,03,0000,20,-,-1,10003,0,103,103100,15,1.11,16.65
Heavy Miséricorde,Miséricorde,Heavy,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1030100,1,03,0100,20,-,-1,10003,100,103,103100,15,1.11,16.65
Keen Miséricorde,Miséricorde,Keen,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1030200,1,03,0200,20,-,-1,10003,5000,103,103100,15,1.11,16.65
Quality Miséricorde,Miséricorde,Quality,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1030300,1,03,0300,20,-,-1,10003,300,103,103100,15,1.11,16.65
Fire Miséricorde,Miséricorde,Fire,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1030400,1,03,0400,20,-,-1,10003,400,103,103100,15,1.11,16.65
Flame Art Miséricorde,Miséricorde,Flame Art,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1030500,1,03,0500,20,-,-1,10003,500,103,103100,15,1.11,16.65
Lightning Miséricorde,Miséricorde,Lightning,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1030600,1,03,0600,20,-,-1,10003,600,103,103100,15,1.11,16.65
Sacred Miséricorde,Miséricorde,Sacred,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1030700,1,03,0700,20,-,-1,10003,700,103,103100,15,1.11,16.65
Magic Miséricorde,Miséricorde,Magic,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1030800,1,03,0800,20,-,-1,10003,800,103,103100,15,1.11,16.65
Cold Miséricorde,Miséricorde,Cold,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",Causes frost buildup (66),-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1030900,1,03,0900,20,-,-1,10003,900,103,103100,15,1.11,16.65
Poison Miséricorde,Miséricorde,Poison,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",Causes poison buildup (66),-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1031000,1,03,1000,20,-,-1,10003,1000,103,103100,15,1.11,16.65
Blood Miséricorde,Miséricorde,Blood,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",Causes blood loss buildup (57),-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1031100,1,03,1100,20,-,-1,10003,1100,103,103100,15,1.11,16.65
Occult Miséricorde,Miséricorde,Occult,Dagger,,Slash/Pierce,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,140,7,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1031200,1,03,1200,20,-,-1,10003,1200,103,103100,15,1.11,16.65
Reduvia,Reduvia,-,Dagger,,Slash/Pierce,"Jagged dagger with a distinctive curved blade. Used by the noble servants of the Lord of Blood. This dagger rips the flesh as it enters, inflicting blood loss with sickening efficacy. A proud testament to the success of its vicious design, this weapon is perpetually coated in blood.",Causes blood loss buildup (50),-,-,Reduvia Blood Blade,6,2.5,100,180,110,5,13,0,0,13,No,No,Yes,Yes,No,No,Yes,1040000,1,04,0000,20,-,-1,10004,2200,104,300104900,0,1.1,0
Crystal Knife,Crystal Knife,-,Dagger,,Slash/Pierce,"A knife made by sharpening hard crystal. Signature weapon of glintstone miners. Used as tool to extract glintstone from broken rock, and as such a faint magic enwreathes the blade.",-,-,-,Quickstep,3,2,100,130,100,8,12,9,0,0,No,No,Yes,Yes,No,No,Yes,1050000,1,05,0000,20,-,-1,10005,0,100,100000,9,1.03,9.27
Celebrant's Sickle,Celebrant's Sickle,Standard,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1060000,1,06,0000,20,-,5010601,10006,0,109,109300,20,1.04,20.8
Celebrant's Heavy Sickle,Celebrant's Sickle,Heavy,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1060100,1,06,0100,20,-,5010601,10006,100,109,109300,20,1.04,20.8
Celebrant's Keen Sickle,Celebrant's Sickle,Keen,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1060200,1,06,0200,20,-,5010601,10006,5000,109,109300,20,1.04,20.8
Celebrant's Quality Sickle,Celebrant's Sickle,Quality,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1060300,1,06,0300,20,-,5010601,10006,300,109,109300,20,1.04,20.8
Celebrant's Fire Sickle,Celebrant's Sickle,Fire,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1060400,1,06,0400,20,-,5010601,10006,400,109,109300,20,1.04,20.8
Celebrant's Flame Art Sickle,Celebrant's Sickle,Flame Art,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1060500,1,06,0500,20,-,5010601,10006,500,109,109300,20,1.04,20.8
Celebrant's Lightning Sickle,Celebrant's Sickle,Lightning,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1060600,1,06,0600,20,-,5010601,10006,600,109,109300,20,1.04,20.8
Celebrant's Sacred Sickle,Celebrant's Sickle,Sacred,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1060700,1,06,0700,20,-,5010601,10006,700,109,109300,20,1.04,20.8
Celebrant's Magic Sickle,Celebrant's Sickle,Magic,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1060800,1,06,0800,20,-,5010601,10006,800,109,109300,20,1.04,20.8
Celebrant's Cold Sickle,Celebrant's Sickle,Cold,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,Causes frost buildup (66),-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1060900,1,06,0900,20,-,5010601,10006,900,109,109300,20,1.04,20.8
Celebrant's Poison Sickle,Celebrant's Sickle,Poison,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,Causes poison buildup (66),-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1061000,1,06,1000,20,-,5010601,10006,1000,109,109300,20,1.04,20.8
Celebrant's Blood Sickle,Celebrant's Sickle,Blood,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,Causes blood loss buildup (57),-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1061100,1,06,1100,20,-,5010601,10006,1100,109,109300,20,1.04,20.8
Celebrant's Occult Sickle,Celebrant's Sickle,Occult,Dagger,,Slash/Pierce,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,100,6,11,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1061200,1,06,1200,20,-,5010601,10006,1200,109,109300,20,1.04,20.8
Glintstone Kris,Glintstone Kris,-,Dagger,,Slash/Pierce,"Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace. Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual.",-,-,-,Glintstone Dart,10,1.5,100,120,110,5,12,16,0,0,No,No,Yes,Yes,No,No,Yes,1070000,1,07,0000,20,-,-1,10007,2200,107,103100,15,1.04,15.6
Scorpion's Stinger,Scorpion's Stinger,-,Dagger,,Slash/Pierce,"Dagger fashioned from a great scorpion's tail, glistening with scarlet rot. A ceremonial tool used by heretics, crafted from the relic of a sealed outer god.",Causes scarlet rot buildup (50),-,-,Repeating Thrust,7,2.5,100,180,110,6,12,0,0,0,No,No,Yes,Yes,No,No,Yes,1080000,1,08,0000,20,-,-1,10008,2200,103,103100,15,1.1,16.5
Great Knife,Great Knife,Standard,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (38),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1090000,1,09,0000,20,-,-1,10009,0,109,109300,20,1,20
Heavy Great Knife,Great Knife,Heavy,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (38),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1090100,1,09,0100,20,-,-1,10009,100,109,109300,20,1,20
Keen Great Knife,Great Knife,Keen,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (38),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1090200,1,09,0200,20,-,-1,10009,5000,109,109300,20,1,20
Quality Great Knife,Great Knife,Quality,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (38),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1090300,1,09,0300,20,-,-1,10009,300,109,109300,20,1,20
Fire Great Knife,Great Knife,Fire,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (38),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1090400,1,09,0400,20,-,-1,10009,400,109,109300,20,1,20
Flame Art Great Knife,Great Knife,Flame Art,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (38),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1090500,1,09,0500,20,-,-1,10009,500,109,109300,20,1,20
Lightning Great Knife,Great Knife,Lightning,Dagger,,Slash/Pierce,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (38),-,-,Quickstep,3,1.5,100,130,110,6,12,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1090600,1,09,0600,20,-,-1,10009,600,109,109300,20,1,20
