Name,Talisman Name,Icon,Info,Caption,Level,Weight,Sell Price,ID,Icon ID
Erdtree's Favor,Erdtree's Favor,,"Raises maximum HP, stamina and equip load","A talisman depicting a special blessing of the Erdtree. Slightly raises maximum HP, stamina, and equip load. It is said that when the Age of the Erdtree began, such blessings were personally bestowed upon their recipients by Queen Marika herself.",0,1.5,500,1040,18040
Erdtree's Favor +1,Erdtree's Favor,,"Raises maximum HP, stamina and equip load","A talisman depicting a special blessing of the Erdtree. Raises maximum HP, stamina, and equip load. It is said that when the Age of the Erdtree began, such blessings were personally bestowed upon their recipients by Queen Marika herself.",1,1.5,1500,1041,18041
Erdtree's Favor +2,Erdtree's Favor,,"Raises maximum HP, stamina and equip load","A legendary talisman depicting a special blessing of the Erdtree. Greatly raises maximum HP, stamina, and equip load. It is said that when the Age of the Erdtree began, such blessings were personally bestowed upon their recipients by Queen Marika herself.",2,1.5,3000,1042,18042
Radagon's Scarseal,Radagon's Scarseal,,"Raises attributes, but also increases damage taken","An eye engraved with an Elden Rune. Said to be the seal of King Consort Radagon. Raises vigor, endurance, strength, and dexterity, but also increases damage taken. These seals represent the lifelong duty of those chosen by the gods.",0,0.8,3000,1050,18050
Radagon's Soreseal,Radagon's Soreseal,,"Greatly raises attributes, but also increases damage taken","This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of King Consort Radagon. Greatly raises vigor, endurance, strength, and dexterity, but also increases damage taken by a similar measure. Solemn duty weighs upon the one beholden; not unlike a gnawing curse from which there is no deliverance.",0,0.8,3000,1051,18051
Starscourge Heirloom,Starscourge Heirloom,,Raises strength,"A talisman engraved with a scene from a heroic tale. Raises strength. The mightiest hero of the demigods confronted the falling stars alone—and thus did he crush them, his conquest sealing the very fate of the stars.",0,0.8,1000,1060,18070
Prosthesis-Wearer Heirloom,Prosthesis-Wearer Heirloom,,Raises dexterity,"A talisman engraved with a scene from a heroic tale. Raises dexterity. Though born into the accursed rot, when the young girl encountered her mentor and his flowing blade, she gained wings of unparalleled strength.",0,0.8,1000,1070,18080
Stargazer Heirloom,Stargazer Heirloom,,Raises intelligence,"A talisman engraved with the legend of a queen. Raises intelligence. The young astrologer gazed at the night sky as she walked. She had always chased the stars every step of her journey. Then she met the full moon—and, in time, the astrologer became a queen.",0,0.6,1000,1080,18090
Two Fingers Heirloom,Two Fingers Heirloom,,Raises faith,"A talisman engraved with the legend of the Two Fingers. Raises faith. Fingers cannot speak, yet these were eloquent. Persistently did they wriggle, spelling out mysteries in the air. Thus did we gain the words. The words of our faith.",0,0.6,1000,1090,18100
Silver Scarab,Silver Scarab,,Raises item discovery,"A talisman facsimile of a scarab, the carrier of treasures and precious things. This silver scarab enhances item discovery.",0,1.2,500,1100,18110
Gold Scarab,Gold Scarab,,Increases runes obtained from defeated enemies,"A talisman facsimile of a scarab, the carrier of treasures and precious things. This golden scarab increases the amount of runes obtained from defeating enemies.",0,1.2,500,1110,18120
Moon of Nokstella,Moon of Nokstella,,Increases memory slots,"This legendary talisman is a treasure of Nokstella, the Eternal City. Increases memory slots. This talisman represents the lost black moon. The moon of Nokstella was the guide of countless stars.",0,0.8,2000,1140,18150
Green Turtle Talisman,Green Turtle Talisman,,Raises stamina recovery speed,"A talisman in the shape of a green turtle. Raises stamina recovery speed. Turtles are known as a nutritious ingredient, symbolic of inexhaustible power. However, those who hold turtles to be wise creatures consider the practice of eating their meat to be barbarous.",0,0.7,500,1150,18160
Stalwart Horn Charm,Stalwart Horn Charm,,Raises robustness,"An accoutrement worn by the ancestral followers. Raises robustness. (Robustness governs resistance to blood loss and frost.) Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,0.6,500,1160,18170
Stalwart Horn Charm +1,Stalwart Horn Charm,,Greatly raises robustness,"An accoutrement worn by the ancestral followers. Greatly raises robustness. (Robustness governs resistance to blood loss and frost.) Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",1,0.6,1000,1161,18171
Immunizing Horn Charm,Immunizing Horn Charm,,Raises immunity,"An accoutrement worn by the ancestral followers. Raises immunity. (Immunity governs resistance to poison and rot.) Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,0.6,500,1170,18180
Immunizing Horn Charm +1,Immunizing Horn Charm,,Greatly raises immunity,"An accoutrement worn by the ancestral followers. Greatly raises immunity. (Immunity governs resistance to poison and rot.) Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",1,0.6,1000,1171,18181
Clarifying Horn Charm,Clarifying Horn Charm,,Raises focus,"An accoutrement worn by the ancestral followers. Raises focus. (Focus governs resistance to sleep and madness.) Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,0.6,500,1180,18190
Clarifying Horn Charm +1,Clarifying Horn Charm,,Greatly raises focus,"An accoutrement worn by the ancestral followers. Greatly raises focus. (Focus governs resistance to sleep and madness.) Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",1,0.6,1000,1181,18191
Prince of Death's Pustule,Prince of Death's Pustule,,Raises vitality,"A fetid pustule taken from facial flesh. Raises vitality. (Vitality governs resistance to the effects of Death.) It is said that this pustule came from the visage of the Prince of Death, he who used to be called Godwyn. As First Dead of the demigods, it's said he's buried deep under the capital, at the Erdtree's roots.",0,0.6,500,1190,03220
Prince of Death's Cyst,Prince of Death's Cyst,,Greatly raises vitality,"A fetid, overgrown cyst taken from facial flesh. Greatly raises vitality. (Vitality governs resistance to the effects of Death.) It is said that this cyst came from the corrupted visage of one unable to die a true Death. Indeed, it comes from the Prince of Death, scion of the golden bough and First of the Dead among the demigods.",0,0.6,1000,1191,18201
Mottled Necklace,Mottled Necklace,,"Raises robustness, immunity, and focus","A vividly-colored accoutrement precious to the ancestral followers. Raises immunity, robustness, and focus. Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,0.9,1000,1200,18210
Mottled Necklace +1,Mottled Necklace,,"Greatly raises robustness, immunity, and focus","A vividly-colored accoutrement precious to the ancestral followers. Greatly raises immunity, robustness, and focus. Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",1,0.9,2000,1201,18211
Bull-Goat's Talisman,Bull-Goat's Talisman,,Raises poise,"A talisman depicting the horns of a bull-goat. Raises poise. Bull-goats are associated with the stout and mighty Tragoth, said to be unflinching in combat—now a silent comrade to those who fight.",0,0.5,1000,1210,18220
Marika's Scarseal,Marika's Scarseal,,"Raises attributes, but also increases damage taken","An eye engraved with an Elden Rune. Said to be the seal of Queen Marika. Raises mind, intelligence, faith, and arcane, but also increases damage taken. These seals represent the lifelong duty of those chosen by the gods.",0,0.8,3000,1220,18060
Marika's Soreseal,Marika's Soreseal,,"Greatly raises attributes, but also increases damage taken","This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of Queen Marika. Greatly raises mind, intelligence, faith, and arcane, but also increases damage taken by a similar measure. Solemn duty weighs upon the one beholden; not unlike a gnawing curse from which there is no deliverance.",0,0.8,3000,1221,18061
Warrior Jar Shard,Warrior Jar Shard,,Boosts the attack power of skills,"Shard of a shattered warrior jar. Boosts the attack power of skills. Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of ancient royal warriors, perhaps.",0,0.9,500,1230,18870
Shard of Alexander,Shard of Alexander,,Greatly boosts the attack power of skills,"Shard of the late Alexander, a shattered warrior jar. Greatly boosts the attack power of skills. Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of a red-haired champion, it would seem.",0,0.9,1000,1231,18871
Millicent's Prosthesis,Millicent's Prosthesis,,"Boosts dexterity, raises attack power with successive attacks","Part of the golden prosthesis used by Millicent. The hand is locked into a fist that once raised a sword aloft. Boosts dexterity and raises attack power with successive attacks. The despair of sweet betrayal transformed Millicent from a mere bud into a magnificent flower. And one day, she will be reborn—as a beautiful scarlet valkyrie.",0,1.6,1000,1250,18890
Magic Scorpion Charm,Magic Scorpion Charm,,"Raises magic attack, but lowers damage negation","A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that shimmers with magic. Raises magic attack power, but lowers damage negation.",0,0.8,500,2000,18230
Lightning Scorpion Charm,Lightning Scorpion Charm,,"Raises lightning attack, but lowers damage negation","A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that sparks with lightning. Raises lightning attack power, but lowers damage negation.",0,0.8,500,2010,18240
Fire Scorpion Charm,Fire Scorpion Charm,,"Raises fire attack, but lowers damage negation","A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that burns with fire. Raises fire attack power, but lowers damage negation.",0,0.8,500,2020,18250
Sacred Scorpion Charm,Sacred Scorpion Charm,,"Raises holy attack, but lowers damage negation","A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart with a blessed glow. Raises holy attack power, but lowers damage negation.",0,0.8,500,2030,18260
Red-Feathered Branchsword,Red-Feathered Branchsword,,Raises attack power when HP is low,"A talisman adorned with red feathers, once used in ancient death rituals. Raises attack power when HP is low. The heart sings when one draws close to death, and a glorious end awaits those who cling so tenaciously to life.",0,1.4,500,2040,18270
Ritual Sword Talisman,Ritual Sword Talisman,,Raises attack power when HP is at maximum,"A talisman patterned after swords used in ritual combat held to honor the Erdtree. Raises attack power when HP is at maximum. The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.",0,0.9,500,2050,18280
Spear Talisman,Spear Talisman,,Enhances counterattacks unique to thrusting weapons,A talisman depicting a spear and a soldier. Enhances the counterattacks that are unique to thrusting weapons. Spears are standard weapons for soldiers in the Lands Between. They made it possible to respond to a ferocious foe with an equally ferocious counterattack.,0,0.5,500,2060,18290
Hammer Talisman,Hammer Talisman,,Enhances stamina-reducing attacks against blockers,"A talisman depicting a hammer and a knight. Enhances stamina-reducing attacks against a blocking opponent. Hammers are highly effective against shield-bearing foes, so much so that they are known as ""knight-killers.""",0,0.9,500,2070,18300
Winged Sword Insignia,Winged Sword Insignia,,Raises attack power with successive attacks,"A talisman depicting a raised prosthetic blade. An honor bestowed upon the knights who fought alongside Malenia the Severed. Raises attack power with successive attacks. The wings symbolize Malenia and her undefeated prowess. Though she never knew relief from the accursed rot she was born into, her blade was forever beautiful—and relentless.",0,1.4,500,2080,18310
Rotten Winged Sword Insignia,Rotten Winged Sword Insignia,,Greatly raises attack power with successive attacks,"A talisman depicting a raised prosthetic blade. An honor bestowed upon the valkyries who serve the Goddess of Rot. Greatly raises attack power with successive attacks. The four sisters were born in the Swamp of Aeonia, and came to the Haligtree under the aegis of Gowry. And yet, those buds were doomed to never blossom.",0,1.4,500,2081,18311
Dagger Talisman,Dagger Talisman,,Enhances critical hits,A talisman depicting a dagger and a surgeon. Enhances critical hits. The white-garbed field surgeons come to the aid of friend and foe alike by dealing a final deadly thrust to spare them from the prolonged agony of a mortal wound. A sense of mercy is a catalyst for bloodlust.,0,1.1,500,2090,18320
Arrow's Reach Talisman,Arrow's Reach Talisman,,Increases bow effective range,A talisman depicting three arrows. Carried by hunters of beasts. Increases the effective range of bows.,0,0.7,500,2100,18330
Blue Dancer Charm,Blue Dancer Charm,,Raises attack power with lower equipment load,"A cloth doll depicting a dancer garbed in blue. An ancient heirloom of some sort. Raises attack power with lower equipment load. The dancer in blue represents a fairy, who in legend bestowed a flowing sword upon a blind swordsman. Blade in hand, the swordsman sealed away an ancient god—a god that was Rot itself.",0,0.9,500,2110,18350
Twinblade Talisman,Twinblade Talisman,,Enhances final hit of chain attacks,"A talisman depicting a twinblade and a confessor. Enhances the final hit ending a chain of attacks. The twinblade technique is a tradition of the confessors, who closely guard the secret of how they preserve the momentum of their attacks. Thus is the final strike of their onslaught all the more deadly.",0,0.7,500,2120,18360
Axe Talisman,Axe Talisman,,Enhances charge attacks,"A talisman depicting an axe and a warrior. Enhances charge attacks. The Lord who led the Long March bore an axe, and his loyal warriors honored him by wielding axes of their own, making them very effective at dealing decisive blows.",0,0.8,500,2130,18370
Lance Talisman,Lance Talisman,,Enhances attacks on horseback,"A talisman depicting a lance and a knight. Enhances attacks while on horseback. Knights on horseback are deadly foes. They see all below from their lofty position, meeting little meaningful resistance as they charge ahead.",0,0.7,500,2140,18380
Arrow's Sting Talisman,Arrow's Sting Talisman,,Raises attack power of arrows and bolts,A talisman depicting three iron arrows. Carried by soldiers long ago. Raises attack power of arrows and bolts.,0,0.7,500,2150,18340
Lord of Blood's Exultation,Lord of Blood's Exultation,,Blood loss in vicinity increases attack power,"A talisman depicting the exultation of the Lord of Blood. Raises attack power when blood loss occurs in the vicinity. ""Render up your offerings of blood to your Lord. Drench my consort's chamber. Slake his cocoon's thirst. His awakening shall herald the dawn of our dynasty.""",0,0.9,500,2160,18390
Kindred of Rot's Exultation,Kindred of Rot's Exultation,,Poisoning or rot in vicinity increases attack power,"A talisman depicting the exultation of pests. Raises attack power when poisoning or rot occurs in the vicinity. ""Rot for the scarlet goddess. O scarlet blossoms, flourish in distant lands, and return to us, the unwanted children.""",0,0.9,500,2170,18400
Claw Talisman,Claw Talisman,,Enhances jump attacks,A talisman depicting a claw and an assassin. Enhances jump attacks. The assassins of Ravenmount are killers by trade. They assail their victims while dressed as birds of prey.,0,0.7,500,2180,18800
Roar Medallion,Roar Medallion,,Enhances roars and breath attacks,"A bronze medallion depicting a roaring giant. Enhances roars and breath attacks. In ancient times, the giants were mortal enemies of the Erdtree. Their bellowing roars desolated nature, triggered avalanches, and whipped up storms of flame.",0,0.7,500,2190,18810
Curved Sword Talisman,Curved Sword Talisman,,Enhances guard counters,A talisman depicting a curved sword and a swordsman. Enhances guard counters. It is said that a blind swordsman was the originator of this technique—the art of allowing one's opponent to strike so as to leave them vulnerable to a well-timed reply.,0,0.7,500,2200,18820
Companion Jar,Companion Jar,,Raises potency of throwing pots,"A talisman given by the jars to their friends. Raises potency of thrown jars. Though the jars are brought to life by human flesh and blood, they are all rather kindly folk. Perhaps they were made to be better than their innards.",0,0.6,500,2210,18830
Perfumer's Talisman,Perfumer's Talisman,,Raises potency of perfume items,"A talisman depicting a set of perfume bottles. Raises potency of perfume items. There are gardens known only to the perfumers. Whether hidden on the fringes of the highlands, or obscured by shadows inside caves, the flowers blossom in secret, waiting to impart their scent.",0,0.6,500,2220,18840
Graven-School Talisman,Graven-School Talisman,,Raises potency of sorceries,"A talisman depicting a school of graven mages, the nightmare of the academy. Raises potency of sorceries. The primeval current is a forbidden tradition of glintstone sorcery. To those who cleave to its teachings, the act of collecting sorcerers to fashion them into the seeds of stars is but another path of scientific inquiry.",0,0.7,1000,3000,18410
Graven-Mass Talisman,Graven-Mass Talisman,,Greatly raises potency of sorceries,"A talisman depicting the first school of graven mages—a nightmare that would continue to haunt the academy. Greatly raises potency of sorceries. The primeval current is a forbidden tradition of glintstone sorcery. To those who cleave to its teachings, the act of collecting sorcerers to fashion them into the seeds of stars is but another path of scientific inquiry.",0,1,2000,3001,18411
Faithful's Canvas Talisman,Faithful's Canvas Talisman,,Raises potency of incantations,"A talisman bearing an icon that depicts a group of masked figures. Raises potency of incantations. The figures represent the flock at prayer, their firm belief in the intangible inspiring even the solitary founder of their religion. What is faith if not an affirmation?",0,0.7,1000,3040,18440
Flock's Canvas Talisman,Flock's Canvas Talisman,,Greatly raises potency of incantations,"A talisman bearing an icon that depicts a mass of masked figures. Greatly raises potency of incantations. The figures represent the flock at prayer, their firm belief in the intangible inspiring even the solitary founder of their religion. What is faith if not an affirmation?",0,1,2000,3050,18450
Old Lord's Talisman,Old Lord's Talisman,,Extends spell effect duration,A legendary talisman depicting the ancient king whose seat lies at the heart of the storm beyond time. Extends the duration of sorceries and incantations. It is said that the ancient royal city of Farum Azula has been slowly crumbling since time immemorial.,0,0.5,1000,3060,18460
Radagon Icon,Radagon Icon,,Shortens spell casting time,"A legendary talisman depicting the Elden Lord Radagon. Shortens the casting time of sorceries and incantations. As the husband of Rennala of Caria, the red-haired Radagon studied sorcery, and as the husband of Queen Marika, he studied incantations. Thus did the hero aspire to be complete.",0,0.7,1000,3070,18470
Primal Glintstone Blade,Primal Glintstone Blade,,"Spells consume less FP, but maximum HP is reduced","An old glintstone blade that has been stained with blood. Reduces FP consumption of sorceries and incantations at the cost of maximum HP. The old sorcerers would slice open their hearts with these blades to imbue a primal glintstone with their soul, and thus did they die.",0,0.6,2000,3080,18480
Godfrey Icon,Godfrey Icon,,Enhances charged spells and skills,"A legendary talisman depicting the Elden Lord Godfrey. Raises charge attack power of sorceries, incantations, and skills. Godfrey was a ferocious warrior. When he vowed to become a lord, he took the Beast Regent Serosh upon on his back to suppress the ceaseless lust for battle that raged within.",0,0.8,1000,3090,18860
Dragoncrest Shield Talisman,Dragoncrest Shield Talisman,,Boosts physical damage negation,"Wrought iron talisman depicting an ancient dragon. Boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,0.8,100,4000,18490
Dragoncrest Shield Talisman +1,Dragoncrest Shield Talisman,,Greatly boosts physical damage negation,"Wrought iron talisman depicting a duo of ancient dragons. Greatly boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,0.8,500,4001,18491
Dragoncrest Shield Talisman +2,Dragoncrest Shield Talisman,,Vastly boosts physical damage negation,"Wrought iron talisman depicting a trio of ancient dragons. Vastly boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",2,0.8,1000,4002,18492
Dragoncrest Greatshield Talisman,Dragoncrest Greatshield Talisman,,Enormously boosts physical damage negation,"Legendary talisman of wrought iron depicting a massive ancient dragon. Enormously boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,0.8,2000,4003,18493
Spelldrake Talisman,Spelldrake Talisman,,Boosts magical damage negation,"Talisman depicting a blue ancient dragon. Boosts magic damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,0.6,100,4010,18500
Spelldrake Talisman +1,Spelldrake Talisman,,Greatly boosts magical damage negation,"Talisman depicting a duo of blue ancient dragons. Greatly boosts magic damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,0.6,500,4011,18501
Spelldrake Talisman +2,Spelldrake Talisman,,Vastly boosts magical damage negation,"Talisman depicting a trio of blue ancient dragons. Vastly boosts magic damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",2,0.6,1000,4012,18502
Flamedrake Talisman,Flamedrake Talisman,,Boosts fire damage negation,"Talisman depicting a red ancient dragon. Boosts fire damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,0.6,100,4020,18510
Flamedrake Talisman +1,Flamedrake Talisman,,Greatly boosts fire damage negation,"Talisman depicting a duo of red ancient dragons. Greatly boosts fire damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,0.6,500,4021,18511
Flamedrake Talisman +2,Flamedrake Talisman,,Vastly boosts fire damage negation,"Talisman depicting a trio of red ancient dragons. Vastly boosts fire damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",2,0.6,1000,4022,18512
Boltdrake Talisman,Boltdrake Talisman,,Boosts lightning damage negation,"Talisman depicting a yellow ancient dragon. Boosts lightning damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,0.6,100,4030,18520
Boltdrake Talisman +1,Boltdrake Talisman,,Greatly boosts lightning damage negation,"Talisman depicting a duo of yellow ancient dragons. Greatly boosts lightning damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,0.6,500,4031,18521
Boltdrake Talisman +2,Boltdrake Talisman,,Vastly boosts lightning damage negation,"Talisman depicting a trio of yellow ancient dragons. Vastly boosts lightning damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",2,0.6,1000,4032,18522
Haligdrake Talisman,Haligdrake Talisman,,Boosts holy damage negation,"Talisman depicting a golden ancient dragon. Boosts holy damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,0.6,100,4040,18530
Haligdrake Talisman +1,Haligdrake Talisman,,Greatly boosts holy damage negation,"Talisman depicting a duo of golden ancient dragons. Greatly boosts holy damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,0.6,500,4041,18531
Haligdrake Talisman +2,Haligdrake Talisman,,Vastly boosts holy damage negation,"Talisman depicting a trio of golden ancient dragons. Vastly boosts holy damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",2,0.6,1000,4042,18532
Pearldrake Talisman,Pearldrake Talisman,,Boosts non-physical damage negation,"Talisman depicting a pearlescent ancient dragon. Boosts non-physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,0.9,100,4050,18540
Pearldrake Talisman +1,Pearldrake Talisman,,Greatly boosts non-physical damage negation,"Talisman depicting a duo of pearlescent ancient dragons. Greatly boosts non-physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,0.9,500,4051,18541
Pearldrake Talisman +2,Pearldrake Talisman,,Vastly boosts non-physical damage negation,"Talisman depicting a trio of pearlescent ancient dragons. Vastly boosts non-physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.",2,0.9,1000,4052,18542
Crucible Scale Talisman,Crucible Scale Talisman,,Reduces damage taken from critical hits,"A talisman fashioned from a scale that embodies the aspects of various creatures. Said to have grown on the human body long ago. Reduces damage taken from critical hits. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.",0,1.1,500,4060,18550
Crucible Feather Talisman,Crucible Feather Talisman,,Improves dodge rolling but increases damage taken,"A talisman fashioned from feathers that embody the aspects of various creatures. Said to have grown on the human body long ago. Improves the effectiveness of dodge rolls, but increases damage taken at all times. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.",0,0.8,1000,4070,18560
Blue-Feathered Branchsword,Blue-Feathered Branchsword,,Raises defense when HP is low,"A talisman adorned with blue feathers, once used in ancient death rituals. Raises defense when HP is low. The heart sings when one draws close to death, and thus does one cling so tenaciously to life—to render up a death worth offering.",0,1.1,500,4080,18570
