Name,Type,Icon,Info 1,Caption,Required (Int),Required (Fai),Required (Arc),Slots Used,FP Cost,FP Cost (Continuous),Stamina Cost,Damage Type,Attack Power (Physical),Attack Power (Magic),Attack Power (Fire),Attack Power (Lightning),Attack Power (Holy),Attack Power (Stamina),Enchantment,Obtainable?,Item Type,ID,Icon ID,AtkParam ID
Cannon of Haima,Sorcery,,Lobs an explosive magic projectile in an arc,"One of the glintstone sorceries of the Academy of Raya Lucaria. Lobs an explosive magic projectile that flies in an arc. Charging enhances potency. Drawn from the conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict.",25,0,0,1,45,14,42,-,0,0,0,0,0,0,No,Yes,5,4080,6017,40800
Crystal Burst,Sorcery,,Fires a burst of glintstone crystal shards,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires a burst of glintstone crystal shards. This sorcery can be cast repeatedly and while in motion. Charging increases potency. A sorcery of the Crystal Cadre, a group of sorcerers who pursued the wisdom of stone—the secrets locked in the faint cogitation of the Crystalians.",18,0,0,1,14,0,9,Magic,0,40,0,0,0,17,No,Yes,5,4090,6006,40900
Shatter Earth,Sorcery,,Thrust staff into ground to emit a shockwave,"One of the glintstone sorceries of the Academy of Raya Lucaria. Imbues the ferrule of the caster's staff with magic, then thrusts it into the ground to create a magical shockwave. Allows one follow-up attack. A Stonedigger sorcery used by the glintstone miners of the crystal tunnel. At the academy, use of this sorcery was a stigma that marked out failed scholars.",15,0,0,1,12,5,22,Magic,0,182,0,0,0,50,No,Yes,5,4100,6018,41000
Rock Blaster,Sorcery,,Thrust staff into ground to emit a massive shockwave,"One of the glintstone sorceries of the Academy of Raya Lucaria. Imbues the ferrule of the caster's staff with magic, then thrusts it into the ground to create a massive magical shockwave. Hold to continue moving without striking the ground, and then push the end of the staff into enemies. An enhanced version of the glintstone miners' Stonedigger sorcery.",21,0,0,1,30,0,35,-,0,0,0,0,0,0,No,Yes,5,4110,6019,1
Gavel of Haima,Sorcery,,Attacks using a magic greathammer,"One of the glintstone sorceries of the Academy of Raya Lucaria. Creates a magical greathammer and slams it down. Allows one follow-up attack. Drawn from the scholarly conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict.",25,0,0,1,37,0,46,Magic,0,242,0,0,0,180,No,Yes,5,4120,6020,41205
Terra Magicus,Sorcery,,Raises the magic strength of those within the sigil,"One of the glintstone sorceries of the Academy of Raya Lucaria. Draws an academy sigil upon the ground, raising the magic strength of those within. Once, the sigil would be cast from the highest belfry of the academy, covering the entire institution's grounds. This spell allows such vivid experience of spell-casting success, it turns many a fledgling into a true sorcerer in a flash of newfound understanding.",20,0,0,1,20,0,12,-,0,0,0,0,0,0,No,Yes,17,4130,6103,1
Starlight,Sorcery,,Creates star light to illuminate surroundings,"One of the glintstone sorceries of the Academy of Raya Lucaria. Creates a small, floating star light that illuminates surroundings. This sorcery can be cast while in motion. Granted to sorcerers who depart from the academy to embark on journeys. Even during the blackest nights, sojourns underground, or imprisonment in gaol, the stars are never far from a sorcerer's side.",15,0,0,1,12,10,5,-,-,-,-,-,-,-,No,Yes,17,4140,6102,-
Comet Azur,Sorcery,,Fires a tremendous comet within a starry torrent,"Legendary sorcery devised by Azur, primeval sorcerer. Fires a tremendous comet in a torrent akin to the distant starry expanse, the place said to be the origin of glintstone. Hold to continue releasing the sorcery's power. When Azur glimpsed into the primeval current, he saw darkness. He was left both bewitched and fearful of the abyss.",60,0,0,3,40,46,34,Magic,0,55,0,0,0,10,No,Yes,5,4200,6012,42000
Founding Rain of Stars,Sorcery,,Releases a downpour of star rain for a while,"The eldest primeval sorcery, said to have been discovered by an ancient astrologer. A sorcery of legendary status. Summons a dark cloud of stars overhead. Shortly after, the cloud will release a violent deluge of star rain. This sorcery can be cast while in motion. Charging increases potency. Thought to be the founding glintstone sorcery. The glimpse of the primeval current that the astrologer saw became real, and the stars' amber rained down on this land.",52,0,0,2,46,50,37,-,0,0,0,0,0,0,No,Yes,5,4210,6021,0
Stars of Ruin,Sorcery,,Fires twelve dark shooting stars that pursue foes,"Legendary sorcery devised by Lusat, primeval sorcerers. Fires twelve dark shooting stars that pursue the target. This sorcery can be cast while in motion. Charging increases potency. When Lusat glimpsed into the primeval current, he beheld the final moments of a great star cluster, and upon seeing it, he too was broken.",43,0,0,1,50,0,33,-,0,0,0,0,0,0,No,Yes,5,4220,6022,0
Glintblade Phalanx,Sorcery,,Forms a defensive arch of magic glintblades,"One of the sorceries of the Carian royal family. Creates a defensive arch of magic glintblades overhead, which automatically attack nearby foes. This sorcery can be cast while in motion. Bestowed upon the enchanted Carian knights, who combined this art with their swordsmanship to maintain pressure upon their foes, striking in waves of steel and sorcery.",22,0,0,1,20,0,12,Magic,0,60,0,0,0,25,No,Yes,5,4300,6005,43000
Carian Phalanx,Sorcery,,Forms a defensive arch of numerous magic glintblades,"One of the sorceries of the Carian royal family. Creates a defensive arch of numerous magic glintblades overhead, which automatically attack nearby foes. This sorcery can be used cast while in motion. An enhanced version of the glintblade sorcery used by enchanted knights.",34,0,0,1,26,0,16,Magic,0,48,0,0,0,25,No,Yes,5,4301,6023,43010
Greatblade Phalanx,Sorcery,,Forms a defensive arch of larger magic glintblades,"One of the sorceries of the Carian royal family. Creates a defensive arch of larger magic glintblades overhead, which automatically attack nearby foes. Used by the enchanted troll knights. They were the comrades of the young Rennala, bound by oath.",29,0,0,1,43,0,20,Magic,0,100,0,0,0,80,No,Yes,5,4302,6024,43020
Rennala's Full Moon,Sorcery,,Incarnate a full moon and launch it at foes,"Sorcery associated with the Carian queen. Uses the caster as a vessel to incarnate a full moon, then sends it floating toward foes. The full moon dispels all sorcery that touches it, and temporarily reduces magic damage negation for those it strikes. Queen Rennala encountered this enchanting moon when she was young, and later, it would bewitch the academy.",70,0,0,2,55,0,32,-,0,0,0,0,0,0,No,Yes,5,4360,6007,79982
Ranni's Dark Moon,Sorcery,,"Incarnate a cold, dark moon and launch it at foes","Legendary sorcery associated with the Carian queen. Uses the caster as a vessel to incarnate a cold, dark moon, then sends it floating toward foes. The dark moon dispels all sorcery that touches it, and temporarily reduces magic damage negation for those it strikes. This moon was encountered by a young Ranni, led by the hand of her mother, Rennala. What she beheld was cold, dark, and veiled in occult mystery.",68,0,0,2,62,25,32,-,0,0,0,0,0,0,No,Yes,5,4361,6025,79982
Magic Downpour,Sorcery,,Summon a magic mass that sprays projectiles over area,One of the sorceries of the Carian royal family. Summons a mass of magic that fires projectiles over a wide area. This sorcery can be cast while in motion. Charging extends duration. Said to have been taught by the Crystalians to mark the swearing of the old concord.,15,0,0,1,25,32,17,-,0,0,0,0,0,0,No,Yes,5,4370,6011,43700
Loretta's Greatbow,Sorcery,,Fires great arrow from a magic greatbow,Sorcery used by Royal Knight Loretta. Creates a magic greatbow and fires a great arrow. Charging enhances potency. Hold to keep the great arrow nocked. It is said that the bow was Loretta's favored weapon.,26,0,0,1,32,50,30,-,0,0,0,0,0,0,No,Yes,5,4380,6013,79980
Loretta's Mastery,Sorcery,,Fires four great arrows from magic greatbow at once,"Sorcery used by Loretta, Knight of the Haligtree. Creates a magic greatbow and fires four great arrows simultaneously. Charging enhances potency. Hold to keep the great arrows nocked. Developed by Loretta after her long, bloody journey to seek out a place where the Albinaurics could live in peace.",46,0,0,1,50,12,33,-,0,0,0,0,0,0,No,Yes,5,4381,6026,0
Magic Glintblade,Sorcery,,Creates sigil that forms a projectile glintblade after delay,"An old sorcery of the Carian royal family. Creates a sigil overhead, from which an enemy-seeking glintblade appears after a brief delay. This sorcery can be used while in motion. Charging increases the delay. Said to be the prototype of the sword-phalanx sorceries wielded by royal enchanted knights.",14,0,0,1,12,0,22,-,0,0,0,0,0,0,No,Yes,5,4390,6027,0
Glintstone Icecrag,Sorcery,,Fires mass of cold magic from glintstone,"Sorcery said to have been used by the old snow witch. The glintstone serves as a conduit, launching a mass of cold magic. This sorcery can be cast repeatedly and while in motion. The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery.",15,0,0,1,12,22,26,Magic,0,199,0,0,0,45,No,Yes,5,4400,6028,44000
Zamor Ice Storm,Sorcery,,Thrust staff into ground to create freezing tornado,"Ice sorcery of the Town of Zamor. Strike the ground with the staff to create a freezing tornado. Charging enhances potency. Cloaked in icy tempests, the knights of Zamor have challenged the Fire Giants since ancient times.",36,0,0,1,22,20,27,-,-,-,-,-,-,-,No,Yes,5,4410,6029,-
Freezing Mist,Sorcery,,Releases cold mist before caster,Sorcery said to have been used by the old snow witch. Releases a cold mist before the caster. This sorcery can be cast while in motion. Charging enhances range of the mist. The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery.,21,0,0,1,20,0,13,-,0,0,0,0,0,0,No,Yes,17,4420,6030,0
Carian Greatsword,Sorcery,,Performs sweeping slash using magical greatsword,"One of the sorceries of the Carian royal family. Conjures a magic greatsword and then delivers a sweeping blow. This sorcery can be cast repeatedly. Armed with this spell, sorcerers gain the strength of knights, their loyalty sworn to the moon.",24,0,0,1,16,0,22,-,-,-,-,-,-,-,No,Yes,5,4430,6050,-
Adula's Moonblade,Sorcery,,Sweeping slash followed by cold blade projectile,"Sorcery of Adula, the Glintstone Dragon. Conjures a cold magic greatsword, then delivers a sweeping blow that launches a blade-like projectile of frost. This sorcery can be cast repeatedly. Adula, a devourer of sorcerers, was bested by Ranni and subsequently swore a knightly oath to her Dark Moon.",32,0,0,1,26,0,22,-,-,-,-,-,-,-,No,Yes,5,4431,6031,-
Carian Slicer,Sorcery,,Performs swift sweeping slash using magical sword,"One of the sorceries of the Carian royal family. Conjures a magic sword and delivers a swift sweeping slash. This sorcery can be used without delay after performing another action. Even among the Carian sword sorceries, this is a notably effective technique.",14,0,0,1,4,23,12,-,-,-,-,-,-,-,No,Yes,5,4440,6051,-
Carian Piercer,Sorcery,,Impales foes with magical greatsword,One of the sorceries of the Carian royal family. Conjures a magic greatsword to impale foes. Charging lengthens the initial step in. This sorcery forms a counterpart to Carian Greatsword. Highly lethal when used against single foes riding alone.,27,0,0,1,23,0,25,-,-,-,-,-,-,-,No,Yes,5,4450,6052,-
Scholar's Armament,Sorcery,,Enchants right-hand armament with magic damage,One of the glintstone sorceries of the Academy of Raya Lucaria. Enchants armament held in the right hand with magic-affinity attacks. This sorcery can be cast while in motion. Taught to the Knights of the Cuckoo by the academy as payment for their contract.,12,0,0,1,25,0,10,-,-,-,-,-,-,-,Yes,Yes,17,4460,6100,-
Scholar's Shield,Sorcery,,Enhances left-hand shield damage negation,One of the glintstone sorceries of the Academy of Raya Lucaria. Enchants shield held in the left hand with additional damage negation. This sorcery can be cast while in motion. Taught to the Knights of the Cuckoo by the academy as payment for their contract.,12,0,0,1,30,0,10,-,-,-,-,-,-,-,No,Yes,17,4470,6101,-
Lucidity,Sorcery,,Alleviates buildup of sleep and madness,One of the sorceries of the Carian royal family. Alleviates buildup of sleep and madness. This sorcery can be cast while in motion. The Carian knights never waver.,17,0,0,1,10,0,10,-,0,0,0,0,0,0,No,Yes,17,4480,6032,44800
Frozen Armament,Sorcery,,Enchants right-hand armament with frost,Sorcery said to have been used by the old snow witch. Enchants armament held in the right hand with frost. This sorcery can be cast while in motion. The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery.,15,0,0,1,20,32,10,-,-,-,-,-,-,-,Yes,Yes,17,4490,6507,-
Shattering Crystal,Sorcery,,Creates crystal mass that shatters in forward burst,"Sorcery of the mysterious Crystalians. Creates a mass of crystal, then shatters it in a forward burst. Charging enhances potency. The Crystalians are inorganic beings, yet they live. They cleave close to the ideals of the primeval current, and as such, they are revered guests of the sorcerers.",38,0,0,1,32,0,35,Magic,0,127,0,0,0,15,No,Yes,5,4500,6033,45000
Crystal Release,Sorcery,,Scours area with violent rain of crystal shards,"Sorcery of the mysterious Crystalians. Creates a mass of crystal, then shatters it to scour a wide area with a violent rain of crystal shards. This sorcery is used by high-ranking adepts among the Crystalians. Some also call this sorcery ""the Crystal Sun.""",41,0,0,1,38,6,26,Magic,0,125,0,0,0,17,No,Yes,5,4510,6034,45101
Crystal Torrent,Sorcery,,Creates crystal mass that fires stream of crystal shards,"Sorcery of the mysterious Crystalians. Creates a mass of crystal, then fires off shards in rapid succession. Hold to continue firing shards. The wrath of the Crystalians encapsulated in sorcery. Each shard is of substantial size, making even a stray blow capable of inflicting a severe wound.",47,0,0,1,24,0,30,Magic,0,57,0,0,0,17,No,Yes,5,4520,6035,45200
Ambush Shard,Sorcery,,Strikes from behind with projectile fired from distance,"One of the night sorceries of Sellia, Town of Sorcery. Launches a projectile from a distance removed from the caster, so as to strike the enemy from behind. This sorcery can be cast repeatedly. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",23,0,0,1,16,0,15,-,0,0,0,0,0,0,No,Yes,5,4600,6036,1
Night Shard,Sorcery,,Swiftly fires semi-invisible magic projectile,"One of the night sorceries of Sellia, Town of Sorcery. Swiftly fires a semi-invisible projectile. This sorcery can be used without delay after performing another action. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",18,0,0,1,7,32,9,-,0,0,0,0,0,0,No,Yes,5,4610,6037,1
Night Comet,Sorcery,,Fires semi-invisible magic comet,"One of the night sorceries of Sellia, Town of Sorcery. Fires a semi-invisible magic comet. This sorcery can be cast repeatedly and while in motion. Charging enhances potency. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",38,0,0,1,32,0,30,-,0,0,0,0,0,0,No,Yes,5,4620,6038,1
Thops's Barrier,Sorcery,,Erect a magic forcefield to deflect spells,"The lifelong pursuit of Thops the Bluntstone. Creates a magic forcefield that deflects sorceries and incantations. Hold to continuously create barriers. Future generations will learn. They will know the foolishness of the sneering sorcerers who ridiculed this theory, little realizing that it was in fact a discovery worthy of a new conspectus of the academy.",18,0,0,1,7,0,10,-,0,0,0,0,0,0,No,Yes,17,4630,6039,79984
Carian Retaliation,Sorcery,,Dispels enemy spells and retaliates with glintblades,"One of the sorceries of the Carian royal family. Swing your staff to dispel incoming sorceries and incantations, using their power to retaliate with glintblades. This was the Carian royal family's secret means to prepare against the disloyalty of the academy. The moon and stars would one day go their separate ways.",17,0,0,1,8,0,15,-,0,0,0,0,0,0,No,Yes,17,4640,6040,79981
Eternal Darkness,Sorcery,,Creates dark space that draws in spells,"Forbidden sorcery of Sellia, Town of Sorcery. Creates a space of darkness that draws in sorceries and incantations. This sorcery can be cast while in motion. Originally a lost sorcery of the Eternal City; the despair that brought about its ruin made manifest.",35,0,0,1,25,0,15,-,0,0,0,0,0,0,No,Yes,17,4650,6041,79982
Unseen Blade,Sorcery,,Makes right-hand armament completely invisible,"One of the night sorceries of Sellia, Town of Sorcery. Enchants armament held in right hand, making it completely invisible. This sorcery can be cast while in motion. Used by Sellian assassins to present themselves as unarmed sorcerers.",12,0,0,1,18,0,10,-,-,-,-,-,-,-,Yes,Yes,17,4660,6702,-
Unseen Form,Sorcery,,Makes the caster semi-invisible,"One of the night sorceries of Sellia, Town of Sorcery. Makes the caster semi-invisible. While on horseback, effect extends to cover the mount. This sorcery can be cast while in motion. The Sellian assassins considered every option that aided their dirty work.",16,0,0,1,20,10,10,-,0,0,0,0,0,0,No,Yes,17,4670,6704,46701
Meteorite,Sorcery,,Calls small meteorites down from the sky,"One of the glintstone sorceries that manipulates gravitational forces. Summons a void that emits a rain of small meteorites. Hold to continue the effect. This sorcery originates from the Onyx Lords, who had skin of stone, and were called lords in reverential fear of their destructive power.",30,0,0,1,30,12,35,-,0,0,0,0,0,0,No,Yes,5,4700,6070,1
Meteorite of Astel,Sorcery,,Calls a hail of small meteorites from the void,One of the glintstone sorceries that manipulates gravitational forces. Summons a void that emits a hail of meteorites. Hold to continue the effect. A manifestation of the power with which Astel leveled the Eternal City.,55,0,0,2,60,0,40,-,0,0,0,0,0,0,No,Yes,5,4701,6042,1
Rock Sling,Sorcery,,Summons rocks from the earth and sends it flying,One of the glintstone sorceries that manipulates gravitational forces. Pulls a clump of rocks from the earth and sends them flying. This sorcery can be cast while in motion. A gravitational technique studied by the young Radahn. His master was an Alabaster Lord with skin of stone.,18,0,0,1,18,12,29,-,0,0,0,0,0,0,No,Yes,5,4710,6071,1
Gravity Well,Sorcery,,Pulls foes toward caster with gravity projectile,One of the glintstone sorceries that manipulates gravitational forces. Fires a projectile of condensed gravitational force. Those struck by it will be pulled toward the caster. Charging enhances potency. A gravitational technique studied by the young Radahn. His master was an Alabaster Lord with skin of stone.,17,0,0,1,12,18,20,Magic,0,138,0,0,0,70,No,Yes,5,4720,6043,47200
Collapsing Stars,Sorcery,,Pulls foes toward caster with gravity projectile volley,"One of the glintstone sorceries that manipulates gravitational forces. Fires numerous gravitational projectiles. Any foes struck will be pulled toward the caster. Charging enhances potency. A gravitational technique mastered by the young Radahn. ""I thank you for your tutelage, for now I can challenge the stars.""",36,0,0,1,18,24,27,Magic,0,41,0,0,0,30,No,Yes,5,4721,6044,47210
Magma Shot,Sorcery,,Fires lump of magma that explodes on contact,"One of the sorceries developed from the magma of Mt. Gelmir. Fires a lump of magma that explodes on contact. Charging enhances potency. After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery.",19,10,0,1,24,3,21,-,0,0,0,0,0,0,No,Yes,5,4800,6205,79980
Gelmir's Fury,Sorcery,,Covers area with surge of magma from the earth,"One of the sorceries developed from the magma of Mt. Gelmir. Conjures a surge of magma from the earth, covering the area. Charging extends the surge of magma. This sorcery is held to represent the fury of the volcano, but the arrogance of attempting to harness it is solely that of men and serpents.",28,15,0,1,27,32,38,Fire,0,0,90,0,0,20,No,Yes,5,4810,6212,48100
Roiling Magma,Sorcery,,Fires lump of magma that explodes after delay,"One of the sorceries developed from the magma of Mt. Gelmir. Fires a lump of condensed magma that explodes a short delay after hitting the target. Charging enhances potency and further delays the explosion. After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery.",21,12,0,1,32,0,27,Fire,0,0,234,0,0,30,No,Yes,5,4820,6213,48200
Rykard's Rancor,Sorcery,,Releases searing spirits that repeatedly explode after delay,"The terrible power of Rykard, Lord of Blasphemy. Summons searing spirits that leave a trail of delayed explosions in their wake. These spirits manifest from the rancor of heroes who met a violent end. The lord granted them an audience, whereupon they were welcomed by the maw of the great serpent—and within the serpent's bowels, they became the lord's kin.",40,18,0,2,35,0,36,-,0,0,0,0,0,0,No,Yes,5,4830,6045,79980
Briars of Sin,Sorcery,,Summons thorns from a whorl of own blood,"An aberrant sorcery discovered by exiled criminals. Theirs are the sorceries most reviled by the academy. Wounds the caster with thorns of sin, creating a spiral of bloodthorns. This sorcery can be cast repeatedly, up to three times. The guilty, their eyes gouged by thorns, lived in eternal darkness. There, they discovered the blood star.",0,24,0,1,9,0,26,Magic,0,200,0,0,0,70,No,Yes,5,4900,6046,49000
Briars of Punishment,Sorcery,,Wounds caster to unleash trail of bloodthorns,"An aberrant sorcery discovered by exiled criminals. Theirs are the sorceries most reviled by the academy. Wounds the caster with thorns of sin, sending a trail of bloodthorns running over the ground to impale enemies from below. This sorcery can be cast repeatedly. The guilty, their eyes gouged by thorns, lived in eternal darkness. There, they discovered the blood star.",0,21,0,1,13,14,22,-,0,0,0,0,0,0,No,Yes,5,4910,6047,0
Rancorcall,Sorcery,,Summons vengeful spirits that chase down foes,"Sorcery of the servants of Death. Summons vengeful spirits that chase down foes. Charging enhances potency. Once thought lost, this ancient death hex was rediscovered by the necromancer Garris.",16,14,0,1,14,24,21,Magic,0,54,0,0,0,11,No,Yes,5,5000,6048,50000
Ancient Death Rancor,Sorcery,,Summons horde of vengeful spirits that chase down foes,"Sorcery of the servants of Death. Summons a horde of vengeful spirits that chase down foes. Charging enhances potency. They are cinders of the ancient death hex, raked from the fires of ghostflame by Deathbirds.",34,24,0,1,24,0,27,-,0,0,0,0,0,0,No,Yes,5,5001,6049,79980
Explosive Ghostflame,Sorcery,,Causes ghostflame explosion that burns wide area,"Sorcery of the servants of Death. Strike the ground with the staff, triggering an explosion of ghostflame that burns the surrounding area. In the time when there was no Erdtree, death was burned in ghostflame. Deathbirds were the keepers of that fire.",42,30,0,1,36,25,45,Magic,0,282,0,0,0,230,No,Yes,5,5010,6053,50100
Fia's Mist,Sorcery,,Releases a mist of death before caster,"Sorcery of Fia, the Deathbed Companion. Creates a deathly mist before the caster, which inflicts Death blight upon those who enter. This sorcery can be cast while in motion. Charging enhances range of the mist. This sorcery was developed to oppose the Roundtable Hold, and is effective only against the Tarnished.",23,18,0,1,25,0,13,-,0,0,0,0,0,0,No,Yes,17,5020,6054,0
Tibia's Summons,Sorcery,,Summons Those Who Live in Death,Sorcery of the servants of Death. Summons a group of Those Lost in Death. Three skeletons will appear some distance from the caster and attack foes before disappearing. The dead have long been left to wander; what they need is leadership.,28,20,0,1,20,46,27,-,0,0,0,0,0,0,No,Yes,5,5030,6099,79980
Death Lightning,Sorcery,,Strikes surroundings with storm of death lightning,"Incantation that channels the power of the ancient dragon Fortissax, now corrupted by Death. Strikes surroundings with a storm of Death lightning. Inflicts Death blight upon foes. Charging extends duration of the storm. It said that this golden lightning was wielded by Godwyn, who befriended Fortissax.",0,47,0,2,46,12,32,-,0,0,0,0,0,0,No,Yes,16,5040,6104,0
Oracle Bubbles,Sorcery,,Launches several small magic bubbles,Sorcery of the claymen who served as priests in the ancient dynasty. Produces several small magical bubbles that drift towards foes before they naturally pop. Charging increases the delay before the bubbles pop. The claymen search for lost oracles within their bubbles.,19,0,15,1,12,16,18,-,0,0,0,0,0,0,No,Yes,5,5100,6607,79980
Great Oracular Bubble,Sorcery,,Launches a large magic bubble,Sorcery of the claymen who served as priests in the ancient dynasty. Produces a gigantic magical bubble that drifts towards foes before it naturally ruptures. Charging increases the delay before the bubble pops. The claymen search for lost oracles within their bubbles.,25,0,18,1,16,0,27,-,0,0,0,0,0,0,No,Yes,5,5110,6608,79980
Catch Flame,Incantation,,Momentarily sparks flame from hand,Incantation originating from a sinister prophecy. Momentarily sparks flame from the caster's hand. This incantation can be cast without delay after performing another action. The flame of ruin is anathema to the Erdtree. But prophets sometimes glimpse it within the faith all the same. Sadly when this occurs their sole reward is banishment.,0,8,0,1,10,16,17,-,0,0,0,0,0,0,No,Yes,16,6000,6200,60000
"O, Flame!",Incantation,,Momentarily sparks roaring flame from hand,"Incantation of the Fire Monks. Momentarily sparks roaring flame from the caster's hand. Charging enhances potency. The Giants' Flame still smolders upon the distant northern mountaintop, and the Fire Monks are its guardians.",0,16,1,1,16,11,24,-,0,0,0,0,0,0,No,No,0,6001,0,0
Flame Sling,Incantation,,Throws ball of raging fire,Incantation originating from a sinister prophecy. Throws a ball of raging fire. Charging enhances potency and causes the ball of fire to explode. The flame of ruin is anathema to the Erdtree. But prophets sometimes glimpse it within the faith all the same. Sadly when this occurs their sole reward is banishment.,0,10,0,1,11,24,22,Fire,0,0,202,0,0,45,No,Yes,16,6010,6202,60100
"Flame, Fall Upon Them",Incantation,,Hurls several balls of fire at once,One of the incantations that draws directly from the power of the Fire Giants. Hurls several balls of fire at once. Charging enhances potency and causes the balls of fire to explode. There is no record of this incantation in common prayerbooks. Only a select few prelates know of its existence.,0,28,1,1,24,21,40,-,0,0,0,0,0,0,No,No,0,6020,0,0
"Whirl, O Flame!",Incantation,,Sweeps area before caster with stream of fire,Superior incantation of the Fire Monks. Creates a spiraling stream of fire that burns the area before the caster. Charging enhances potency and reach. Fire beguiles those who gaze into it. And so the guardians of the Flame are also its worshippers.,0,13,1,1,21,0,26,-,0,0,0,0,0,0,No,No,0,6030,0,0
