Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Ash of War,Default Ash of War FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Physical),Attack Power (Magic),Attack Power (Fire),Attack Power (Lightning),Attack Power (Holy),Attack Power (Critical),Attack Power (Stamina),Scaling Value (Str),Scaling Letter (Str),Scaling Value (Dex),Scaling Letter (Dex),Scaling Value (Int),Scaling Letter (Int),Scaling Value (Fai),Scaling Letter (Fai),Scaling Value (Arc),Scaling Letter (Arc),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Guarded Damage Negation (Physical),Guarded Damage Negation (Magic),Guarded Damage Negation (Fire),Guarded Damage Negation (Lightning),Guarded Damage Negation (Holy),Guarded Damage Negation (Guard Boost),Guard Resistance Reduction,Guard Frost Reduction,Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Thrust),Can Enchant,ID,Weapon Group ID,Weapon ID,Imbue Type ID,Weapon Moveset Category,Icon ID,Reinforce Type ID,Behavior Variation ID,,Stamina Usage %,1H Light Stamina Usage
Parrying Dagger,Parrying Dagger,-,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,75,0,0,0,0,110,30,16,E,76,C,0,-,0,-,0,-,5,14,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1020000,1,02,0000,20,10002,0,100,9,1,9
Heavy Parrying Dagger,Parrying Dagger,Heavy,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,68,0,0,0,0,110,30,99,B,0,-,0,-,0,-,0,-,5,14,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1020100,1,02,0100,20,10002,100,100,9,1,9
Keen Parrying Dagger,Parrying Dagger,Keen,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,68,0,0,0,0,110,28,4,E,111,B,0,-,0,-,0,-,5,14,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,15.0,No,No,Yes,Yes,Yes,1020200,1,02,0200,20,10002,5000,100,9,1,9
Quality Parrying Dagger,Parrying Dagger,Quality,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,64,0,0,0,0,110,30,64,C,64,C,0,-,0,-,0,-,5,14,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1020300,1,02,0300,20,10002,300,100,9,1,9
Fire Parrying Dagger,Parrying Dagger,Fire,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,57,0,57,0,0,110,30,59,D,4,E,0,-,0,-,0,-,5,14,0,0,0,33.3,19.0,23.0,21.0,19.0,15,9.5,10.0,No,No,Yes,Yes,No,1020400,1,02,0400,20,10002,400,100,9,1,9
Flame Art Parrying Dagger,Parrying Dagger,Flame Art,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,61,0,61,0,0,110,30,3,E,17,E,0,-,50,D,0,-,5,14,0,0,0,33.3,19.0,23.0,21.0,19.0,15,9.5,10.0,No,No,Yes,Yes,No,1020500,1,02,0500,20,10002,500,100,9,1,9
Lightning Parrying Dagger,Parrying Dagger,Lightning,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,57,0,0,57,0,110,30,4,E,59,D,0,-,0,-,0,-,5,14,0,0,0,33.3,19.0,21.0,23.0,19.0,15,9.5,10.0,No,No,Yes,Yes,No,1020600,1,02,0600,20,10002,600,100,9,1,9
Sacred Parrying Dagger,Parrying Dagger,Sacred,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,54,0,0,0,54,110,30,4,E,22,E,0,-,50,D,0,-,5,14,0,0,0,33.3,21.0,19.0,19.0,23.0,15,9.5,10.0,No,No,Yes,Yes,No,1020700,1,02,0700,20,10002,700,100,9,1,9
Magic Parrying Dagger,Parrying Dagger,Magic,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,54,54,0,0,0,110,30,3,E,16,E,55,D,0,-,0,-,5,14,0,0,0,33.3,23.0,19.0,19.0,21.0,15,9.5,10.0,No,No,Yes,Yes,No,1020800,1,02,0800,20,10002,800,100,9,1,9
Cold Parrying Dagger,Parrying Dagger,Cold,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",Causes frost buildup (66),-,-,Parry,0,1.5,100,130,61,51,0,0,0,110,30,14,E,68,C,41,D,0,-,0,-,5,14,0,0,0,33.3,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,No,1020900,1,02,0900,20,10002,900,100,9,1,9
Poison Parrying Dagger,Parrying Dagger,Poison,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",Causes poison buildup (66),-,-,Parry,0,1.5,100,130,61,0,0,0,0,110,30,15,E,72,C,0,-,0,-,30,D,5,14,0,0,0,33.3,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,No,1021000,1,02,1000,20,10002,1000,100,9,1,9
Blood Parrying Dagger,Parrying Dagger,Blood,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",Causes blood loss buildup (57),-,-,Parry,0,1.5,100,130,61,0,0,0,0,110,30,15,E,72,C,0,-,0,-,30,D,5,14,0,0,0,33.3,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,No,1021100,1,02,1100,20,10002,1100,100,9,1,9
Occult Parrying Dagger,Parrying Dagger,Occult,Dagger,,Slash/Thrust,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,64,0,0,0,0,110,30,4,E,24,E,0,-,0,-,78,C,5,14,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,No,1021200,1,02,1200,20,10002,1200,100,9,1,9
Miséricorde,Miséricorde,-,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,92,0,0,0,0,140,28,15,E,50,D,0,-,0,-,0,-,7,12,0,0,0,36.0,21.0,21.0,21.0,21.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1030000,1,03,0000,20,10003,0,103,9,1.11,9.99
Heavy Miséricorde,Miséricorde,Heavy,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,83,0,0,0,0,140,28,68,C,0,-,0,-,0,-,0,-,7,12,0,0,0,36.0,21.0,21.0,21.0,21.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1030100,1,03,0100,20,10003,100,103,9,1.11,9.99
Keen Miséricorde,Miséricorde,Keen,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,83,0,0,0,0,140,26,6,E,72,C,0,-,0,-,0,-,7,12,0,0,0,36.0,21.0,21.0,21.0,21.0,15,10.0,15.0,No,No,Yes,Yes,Yes,1030200,1,03,0200,20,10003,5000,103,9,1.11,9.99
Quality Miséricorde,Miséricorde,Quality,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,79,0,0,0,0,140,28,45,D,45,D,0,-,0,-,0,-,7,12,0,0,0,36.0,21.0,21.0,21.0,21.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1030300,1,03,0300,20,10003,300,103,9,1.11,9.99
Fire Miséricorde,Miséricorde,Fire,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,70,0,70,0,0,140,28,37,D,3,E,0,-,0,-,0,-,7,12,0,0,0,34.2,20.0,24.2,22.1,20.0,15,9.5,10.0,No,No,Yes,Yes,No,1030400,1,03,0400,20,10003,400,103,9,1.11,9.99
Flame Art Miséricorde,Miséricorde,Flame Art,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,74,0,74,0,0,140,28,3,E,12,E,0,-,26,D,0,-,7,12,0,0,0,34.2,20.0,24.2,22.1,20.0,15,9.5,10.0,No,No,Yes,Yes,No,1030500,1,03,0500,20,10003,500,103,9,1.11,9.99
Lightning Miséricorde,Miséricorde,Lightning,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,70,0,0,70,0,140,28,3,E,37,D,0,-,0,-,0,-,7,12,0,0,0,34.2,20.0,22.1,24.2,20.0,15,9.5,10.0,No,No,Yes,Yes,No,1030600,1,03,0600,20,10003,600,103,9,1.11,9.99
Sacred Miséricorde,Miséricorde,Sacred,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,66,0,0,0,66,140,28,4,E,15,E,0,-,26,D,0,-,7,12,0,0,0,34.2,22.1,20.0,20.0,24.2,15,9.5,10.0,No,No,Yes,Yes,No,1030700,1,03,0700,20,10003,700,103,9,1.11,9.99
Magic Miséricorde,Miséricorde,Magic,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,66,66,0,0,0,140,28,3,E,11,E,29,D,0,-,0,-,7,12,0,0,0,34.2,24.2,20.0,20.0,22.1,15,9.5,10.0,No,No,Yes,Yes,No,1030800,1,03,0800,20,10003,800,103,9,1.11,9.99
Cold Miséricorde,Miséricorde,Cold,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",Causes frost buildup (66),-,-,Quickstep,3,2,100,160,74,63,0,0,0,140,28,13,E,45,D,22,E,0,-,0,-,7,12,0,0,0,34.2,21.0,21.0,21.0,21.0,15,10.0,10.0,No,No,Yes,Yes,No,1030900,1,03,0900,20,10003,900,103,9,1.11,9.99
Poison Miséricorde,Miséricorde,Poison,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",Causes poison buildup (66),-,-,Quickstep,3,2,100,160,74,0,0,0,0,140,28,14,E,47,D,0,-,0,-,30,D,7,12,0,0,0,34.2,21.0,21.0,21.0,21.0,15,10.0,10.0,No,No,Yes,Yes,No,1031000,1,03,1000,20,10003,1000,103,9,1.11,9.99
Blood Miséricorde,Miséricorde,Blood,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",Causes blood loss buildup (57),-,-,Quickstep,3,2,100,160,74,0,0,0,0,140,28,14,E,47,D,0,-,0,-,30,D,7,12,0,0,0,34.2,21.0,21.0,21.0,21.0,15,10.0,10.0,No,No,Yes,Yes,No,1031100,1,03,1100,20,10003,1100,103,9,1.11,9.99
Occult Miséricorde,Miséricorde,Occult,Dagger,,Slash/Thrust,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,-,Quickstep,3,2,100,160,79,0,0,0,0,140,28,4,E,16,E,0,-,0,-,58,D,7,12,0,0,0,36.0,21.0,21.0,21.0,21.0,15,10.0,10.0,No,No,Yes,Yes,No,1031200,1,03,1200,20,10003,1200,103,9,1.11,9.99
Reduvia,Reduvia,-,Dagger,,Slash/Thrust,"Jagged dagger with a distinctive curved blade. Used by the noble servants of the Lord of Blood. This dagger rips the flesh as it enters, inflicting blood loss with sickening efficacy. A proud testament to the success of its vicious design, this weapon is perpetually coated in blood.",Causes blood loss buildup (50),-,-,Reduvia Blood Blade,6,2.5,100,180,79,0,0,0,0,110,31,10,E,40,D,0,-,0,-,55,D,5,13,0,0,13,38.0,22.0,22.0,22.0,22.0,16,11.0,11.0,No,No,Yes,Yes,No,1040000,1,04,0000,20,10004,2200,104,9,1.1,9.9
Crystal Knife,Crystal Knife,-,Dagger,,Slash/Thrust,"A knife made by sharpening hard crystal. Signature weapon of glintstone miners. Used as tool to extract glintstone from broken rock, and as such a faint magic enwreathes the blade.",-,-,-,Quickstep,3,2,100,130,82,53,0,0,0,100,31,40,D,25,D,50,D,0,-,0,-,8,12,9,0,0,32.0,31.0,18.0,18.0,18.0,15,10.0,10.0,No,No,Yes,Yes,No,1050000,1,05,0000,20,10005,0,100,9,1.03,9.27
Celebrant's Sickle,Celebrant's Sickle,-,Dagger,,Slash/Thrust,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,79,0,0,0,0,100,28,15,E,67,C,0,-,0,-,0,-,6,11,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1060000,1,06,0000,20,10006,0,109,9,1.04,9.36
Celebrant's Heavy Sickle,Celebrant's Sickle,Heavy,Dagger,,Slash/Thrust,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,71,0,0,0,0,100,28,88,C,0,-,0,-,0,-,0,-,6,11,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1060100,1,06,0100,20,10006,100,109,9,1.04,9.36
Celebrant's Keen Sickle,Celebrant's Sickle,Keen,Dagger,,Slash/Thrust,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,71,0,0,0,0,100,26,8,E,103,B,0,-,0,-,0,-,6,11,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,15.0,No,No,Yes,Yes,Yes,1060200,1,06,0200,20,10006,5000,109,9,1.04,9.36
Celebrant's Quality Sickle,Celebrant's Sickle,Quality,Dagger,,Slash/Thrust,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,67,0,0,0,0,100,28,57,D,57,D,0,-,0,-,0,-,6,11,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1060300,1,06,0300,20,10006,300,109,9,1.04,9.36
Celebrant's Fire Sickle,Celebrant's Sickle,Fire,Dagger,,Slash/Thrust,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,60,0,60,0,0,100,28,53,D,4,E,0,-,0,-,0,-,6,11,0,0,0,33.3,19.0,23.0,21.0,19.0,15,9.5,10.0,No,No,Yes,Yes,No,1060400,1,06,0400,20,10006,400,109,9,1.04,9.36
Celebrant's Flame Art Sickle,Celebrant's Sickle,Flame Art,Dagger,,Slash/Thrust,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,63,0,63,0,0,100,28,3,E,16,E,0,-,44,D,0,-,6,11,0,0,0,33.3,19.0,23.0,21.0,19.0,15,9.5,10.0,No,No,Yes,Yes,No,1060500,1,06,0500,20,10006,500,109,9,1.04,9.36
Celebrant's Lightning Sickle,Celebrant's Sickle,Lightning,Dagger,,Slash/Thrust,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,60,0,0,60,0,100,28,4,E,53,D,0,-,0,-,0,-,6,11,0,0,0,33.3,19.0,21.0,23.0,19.0,15,9.5,10.0,No,No,Yes,Yes,No,1060600,1,06,0600,20,10006,600,109,9,1.04,9.36
Celebrant's Sacred Sickle,Celebrant's Sickle,Sacred,Dagger,,Slash/Thrust,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,56,0,0,0,56,100,28,4,E,20,E,0,-,44,D,0,-,6,11,0,0,0,33.3,21.0,19.0,19.0,23.0,15,9.5,10.0,No,No,Yes,Yes,No,1060700,1,06,0700,20,10006,700,109,9,1.04,9.36
Celebrant's Magic Sickle,Celebrant's Sickle,Magic,Dagger,,Slash/Thrust,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.,-,-,Rune Gain on Hit,Quickstep,3,1.5,100,120,56,56,0,0,0,100,28,3,E,15,E,48,D,0,-,0,-,6,11,0,0,0,33.3,23.0,19.0,19.0,21.0,15,9.5,10.0,No,No,Yes,Yes,No,1060800,1,06,0800,20,10006,800,109,9,1.04,9.36
