ID,Name,Reinforce Type ID,Physical Attack,Magic Attack,Fire Attack,Lightning Attack,Holy Attack,Stamina Attack,Str Scaling,Dex Scaling,Int Scaling,Fai Scaling,Arc Scaling,Physical Guard,Magic Guard,Fire Guard,Lightning Guard,Holy Guard,Guard Boost,Resistance Guard,Upgrade Price,Effect 1,Effect 1 Type,Effect 2,Effect 2 Type,Max Upgrade,Attack Element Correct ID,Weapon Type,Physical Damage Type,Weight,Attack Power (Critical),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Infusable,Base Poise Attack,Caption
1021000,Poison Parrying Dagger,1000,72,0,0,0,0,30,15,72,0,0,30,35,20,20,20,20,15,10,130,-1,None,106000,Poison,25,10013,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1021100,Blood Parrying Dagger,1100,72,0,0,0,0,30,15,72,0,0,30,35,20,20,20,20,15,10,130,105000,Blood,-1,None,25,10013,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1021200,Occult Parrying Dagger,1200,72,0,0,0,0,30,6,30,0,0,78,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10013,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1030000,Misericorde,0,92,0,0,0,0,28,15,50,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1030100,Heavy Misericorde,100,88,0,0,0,0,28,38,0,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1030200,Keen Misericorde,5000,88,0,0,0,0,28,13,48,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1030300,Quality Misericorde,300,88,0,0,0,0,28,45,45,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1030400,Fire Misericorde,400,88,0,88,0,0,28,29,6,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10005,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1030500,Flame Art Misericorde,500,88,0,88,0,0,28,4,15,0,26,0,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1030600,Lightning Misericorde,600,88,0,0,88,0,28,6,29,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1030700,Sacred Misericorde,700,88,0,0,0,88,28,4,15,0,26,0,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1030800,Magic Misericorde,800,88,88,0,0,0,28,4,15,29,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1030900,Cold Misericorde,900,88,75,0,0,0,28,13,45,22,0,0,36,21,21,21,21,15,10,160,-1,None,107500,Frost,25,10000,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1031000,Poison Misericorde,1000,88,0,0,0,0,28,14,47,0,0,30,36,21,21,21,21,15,10,160,-1,None,106000,Poison,25,10013,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1031100,Blood Misericorde,1100,88,0,0,0,0,28,14,47,0,0,30,36,21,21,21,21,15,10,160,105000,Blood,-1,None,25,10013,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1031200,Occult Misericorde,1200,88,0,0,0,0,28,6,20,0,0,58,36,21,21,21,21,15,10,160,-1,None,-1,None,25,10013,Dagger,Slash/Pierce,2,140,7,12,0,0,0,Yes,3,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion."
1040000,Reduvia,2200,79,0,0,0,0,31,10,40,0,0,55,38,22,22,22,22,16,11,180,6410,Blood,-1,None,10,10013,Dagger,Slash/Pierce,2.5,110,5,13,0,0,13,No,3,"Jagged dagger with a distinctive curved blade. Used by the noble servants of the Lord of Blood. This dagger rips the flesh as it enters, inflicting blood loss with sickening efficacy. A proud testament to the success of its vicious design, this weapon is perpetually coated in blood."
1050000,Crystal Knife,0,82,53,0,0,0,31,40,25,50,0,0,32,31,18,18,18,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,2,100,8,12,9,0,0,No,3,"A knife made by sharpening hard crystal. Signature weapon of glintstone miners. Used as tool to extract glintstone from broken rock, and as such a faint magic enwreathes the blade."
1060000,Celebrant's Sickle,0,79,0,0,0,0,28,15,67,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1060100,Celebrant's Heavy Sickle,100,75,0,0,0,0,28,49,0,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1060200,Celebrant's Keen Sickle,5000,75,0,0,0,0,28,16,69,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1060300,Celebrant's Quality Sickle,300,75,0,0,0,0,28,57,57,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1060400,Celebrant's Fire Sickle,400,75,0,75,0,0,28,41,8,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10005,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1060500,Celebrant's Flame Art Sickle,500,75,0,75,0,0,28,4,20,0,44,0,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1060600,Celebrant's Lightning Sickle,600,75,0,0,75,0,28,8,41,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1060700,Celebrant's Sacred Sickle,700,75,0,0,0,75,28,4,20,0,44,0,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1060800,Celebrant's Magic Sickle,800,75,75,0,0,0,28,4,20,48,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1060900,Celebrant's Cold Sickle,900,75,64,0,0,0,28,13,60,36,0,0,35,20,20,20,20,15,10,120,-1,None,107500,Frost,25,10000,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1061000,Celebrant's Poison Sickle,1000,75,0,0,0,0,28,14,63,0,0,30,35,20,20,20,20,15,10,120,-1,None,106000,Poison,25,10013,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1061100,Celebrant's Blood Sickle,1100,75,0,0,0,0,28,14,63,0,0,30,35,20,20,20,20,15,10,120,105000,Blood,-1,None,25,10013,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1061200,Celebrant's Occult Sickle,1200,75,0,0,0,0,28,6,26,0,0,73,35,20,20,20,20,15,10,120,-1,None,-1,None,25,10013,Dagger,Slash/Pierce,1.5,100,6,11,0,0,0,Yes,3,Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
1070000,Glintstone Kris,2200,57,68,0,0,0,28,10,45,40,0,0,23,45,14,14,14,15,10,120,-1,None,-1,None,10,10000,Dagger,Slash/Pierce,1.5,110,5,12,16,0,0,No,3,"Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace. Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual."
1080000,Scorpion's Stinger,2200,79,0,0,0,0,31,30,70,0,0,0,38,22,22,22,22,16,11,180,-1,None,6600,Rot,10,10000,Dagger,Slash/Pierce,2.5,110,6,12,0,0,0,No,3,"Dagger fashioned from a great scorpion's tail, glistening with scarlet rot. A ceremonial tool used by heretics, crafted from the relic of a sealed outer god."
1090000,Great Knife,0,75,0,0,0,0,30,5,80,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1090100,Heavy Great Knife,100,72,0,0,0,0,30,54,0,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1090200,Keen Great Knife,5000,72,0,0,0,0,30,17,72,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1090300,Quality Great Knife,300,72,0,0,0,0,30,62,62,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1090400,Fire Great Knife,400,72,0,72,0,0,30,46,8,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10005,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1090500,Flame Art Great Knife,500,72,0,72,0,0,30,4,24,0,51,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1090600,Lightning Great Knife,600,72,0,0,72,0,30,8,46,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1090700,Sacred Great Knife,700,72,0,0,0,72,30,4,24,0,51,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1090800,Magic Great Knife,800,72,72,0,0,0,30,4,24,55,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1090900,Cold Great Knife,900,72,61,0,0,0,30,4,72,42,0,0,35,20,20,20,20,15,10,130,6406,Blood,107500,Frost,25,10000,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1091000,Poison Great Knife,1000,72,0,0,0,0,30,4,76,0,0,30,35,20,20,20,20,15,10,130,6406,Blood,106000,Poison,25,10013,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1091100,Blood Great Knife,1100,72,0,0,0,0,30,4,76,0,0,30,35,20,20,20,20,15,10,130,105050,Blood,-1,None,25,10013,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1091200,Occult Great Knife,1200,72,0,0,0,0,30,4,32,0,0,80,35,20,20,20,20,15,10,130,6406,Blood,-1,None,25,10013,Dagger,Slash/Pierce,1.5,110,6,12,0,0,0,Yes,3,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient."
1100000,Wakizashi,0,94,0,0,0,0,33,34,45,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,3,100,9,13,0,0,0,Yes,3,"Short sword with a tempering pattern on the blade. A weapon unique to warriors of the Land of Reeds. Afflicts targets with blood loss. These swords are considered auxiliary weapons. Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as Okina."
1100100,Heavy Wakizashi,100,90,0,0,0,0,33,44,0,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,3,100,9,13,0,0,0,Yes,3,"Short sword with a tempering pattern on the blade. A weapon unique to warriors of the Land of Reeds. Afflicts targets with blood loss. These swords are considered auxiliary weapons. Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as Okina."
1100200,Keen Wakizashi,200,90,0,0,0,0,33,7,45,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,3,100,9,13,0,0,0,Yes,3,"Short sword with a tempering pattern on the blade. A weapon unique to warriors of the Land of Reeds. Afflicts targets with blood loss. These swords are considered auxiliary weapons. Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as Okina."
1100300,Quality Wakizashi,300,90,0,0,0,0,33,55,55,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,25,10000,Dagger,Slash/Pierce,3,100,9,13,0,0,0,Yes,3,"Short sword with a tempering pattern on the blade. A weapon unique to warriors of the Land of Reeds. Afflicts targets with blood loss. These swords are considered auxiliary weapons. Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as Okina."
1100400,Fire Wakizashi,400,90,0,90,0,0,33,34,7,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,25,10005,Dagger,Slash/Pierce,3,100,9,13,0,0,0,Yes,3,"Short sword with a tempering pattern on the blade. A weapon unique to warriors of the Land of Reeds. Afflicts targets with blood loss. These swords are considered auxiliary weapons. Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as Okina."
